ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
25,34,4.576202,-74.098946,PM25,g/h,0,0,0,0,0,0,0,1.585976006,1.585976006,1.585976006,1.585976006,1.585976006,0,1.585976006,1.585976006,1.585976006,1.585976006,1.585976006,1.585976006,0,0,0,0,0,0
26,34,4.585175,-74.098946,PM25,g/h,0,0,0,0,0,0,0,1.995087147,1.995087147,1.995087147,1.995087147,1.995087147,0,1.995087147,1.995087147,1.995087147,1.995087147,1.995087147,1.995087147,0,0,0,0,0,0
27,31,4.594131,-74.125923,PM25,g/h,0,0,0,0,0,0,0,0.171100515,0.171100515,0.171100515,0.171100515,0.171100515,0,0.171100515,0.171100515,0.171100515,0.171100515,0.171100515,0.171100515,0,0,0,0,0,0
27,34,4.594131,-74.098946,PM25,g/h,0,0,0,0,0,0,0,0.507065293,0.507065293,0.507065293,0.507065293,0.507065293,0,0.507065293,0.507065293,0.507065293,0.507065293,0.507065293,0.507065293,0,0,0,0,0,0
28,30,4.603096,-74.134918,PM25,g/h,0,0,0,0,0,0,0,1.604903553,1.604903553,1.604903553,1.604903553,1.604903553,0,1.604903553,1.604903553,1.604903553,1.604903553,1.604903553,1.604903553,0,0,0,0,0,0
28,31,4.603096,-74.125923,PM25,g/h,0,0,0,0,0,0,0,0.91777027,0.91777027,0.91777027,0.91777027,0.91777027,0,0.91777027,0.91777027,0.91777027,0.91777027,0.91777027,0.91777027,0,0,0,0,0,0
28,33,4.603096,-74.107941,PM25,g/h,0,0,0,0,0,0,0,1.77792879,1.77792879,1.77792879,1.77792879,1.77792879,0,1.77792879,1.77792879,1.77792879,1.77792879,1.77792879,1.77792879,0,0,0,0,0,0
28,34,4.603096,-74.098946,PM25,g/h,0,0,0,0,0,0,0,8.450165628,8.450165628,8.450165628,8.450165628,8.450165628,0,8.450165628,8.450165628,8.450165628,8.450165628,8.450165628,8.450165628,0,0,0,0,0,0
28,35,4.603096,-74.089951,PM25,g/h,0,0,0,0,0,0,0,0.722881485,0.722881485,0.722881485,0.722881485,0.722881485,0,0.722881485,0.722881485,0.722881485,0.722881485,0.722881485,0.722881485,0,0,0,0,0,0
29,32,4.612068,-74.116936,PM25,g/h,0,0,0,0,0,0,0,0.480747313,0.480747313,0.480747313,0.480747313,0.480747313,0,0.480747313,0.480747313,0.480747313,0.480747313,0.480747313,0.480747313,0,0,0,0,0,0
29,33,4.612068,-74.107941,PM25,g/h,0,0,0,0,0,0,0,0.197453783,0.197453783,0.197453783,0.197453783,0.197453783,0,0.197453783,0.197453783,0.197453783,0.197453783,0.197453783,0.197453783,0,0,0,0,0,0
29,35,4.612068,-74.089951,PM25,g/h,0,0,0,0,0,0,0,5.972119938,5.972119938,5.972119938,5.972119938,5.972119938,0,5.972119938,5.972119938,5.972119938,5.972119938,5.972119938,5.972119938,0,0,0,0,0,0
