ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,41,4.692757,-74.03598,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351478327264,0.0351478327264,0.0351478327264,0.0351478327264,0.0351478327264,0.0,0.0351478327264,0.0351478327264,0.0351478327264,0.0351478327264,0.0351478327264,0.0351478327264,0.0,0.0,0.0,0.0,0.0,0.0
46,40,4.773422,-74.044975,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032384,0.0032384,0.0032384,0.0032384,0.0032384,0.0,0.0032384,0.0032384,0.0032384,0.0032384,0.0032384,0.0032384,0.0,0.0,0.0,0.0,0.0,0.0
41,30,4.719643,-74.134918,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0565108345597,0.0565108345597,0.0565108345597,0.0565108345597,0.0565108345597,0.0,0.0565108345597,0.0565108345597,0.0565108345597,0.0565108345597,0.0565108345597,0.0565108345597,0.0,0.0,0.0,0.0,0.0,0.0
41,31,4.719643,-74.125923,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0439052961472,0.0439052961472,0.0439052961472,0.0439052961472,0.0439052961472,0.0,0.0439052961472,0.0439052961472,0.0439052961472,0.0439052961472,0.0439052961472,0.0439052961472,0.0,0.0,0.0,0.0,0.0,0.0
41,35,4.719643,-74.089951,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398660196,0.0398660196,0.0398660196,0.0398660196,0.0398660196,0.0,0.0398660196,0.0398660196,0.0398660196,0.0398660196,0.0398660196,0.0398660196,0.0,0.0,0.0,0.0,0.0,0.0
41,36,4.719643,-74.080956,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472779278208,0.00472779278208,0.00472779278208,0.00472779278208,0.00472779278208,0.0,0.00472779278208,0.00472779278208,0.00472779278208,0.00472779278208,0.00472779278208,0.00472779278208,0.0,0.0,0.0,0.0,0.0,0.0
41,37,4.719643,-74.07196,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111359225094,0.0111359225094,0.0111359225094,0.0111359225094,0.0111359225094,0.0,0.0111359225094,0.0111359225094,0.0111359225094,0.0111359225094,0.0111359225094,0.0111359225094,0.0,0.0,0.0,0.0,0.0,0.0
41,38,4.719643,-74.062965,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197489735526,0.0197489735526,0.0197489735526,0.0197489735526,0.0197489735526,0.0,0.0197489735526,0.0197489735526,0.0197489735526,0.0197489735526,0.0197489735526,0.0197489735526,0.0,0.0,0.0,0.0,0.0,0.0
41,39,4.719643,-74.05397,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111610282106,0.0111610282106,0.0111610282106,0.0111610282106,0.0111610282106,0.0,0.0111610282106,0.0111610282106,0.0111610282106,0.0111610282106,0.0111610282106,0.0111610282106,0.0,0.0,0.0,0.0,0.0,0.0
41,40,4.719643,-74.044975,PSI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365379604569,0.0365379604569,0.0365379604569,0.0365379604569,0.0365379604569,0.0,0.0365379604569,0.0365379604569,0.0365379604569,0.0365379604569,0.0365379604569,0.0365379604569,0.0,0.0,0.0,0.0,0.0,0.0
