ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,41,4.692757,-74.03598,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010849983146,0.0010849983146,0.0010849983146,0.0010849983146,0.0010849983146,0.0,0.0010849983146,0.0010849983146,0.0010849983146,0.0010849983146,0.0010849983146,0.0010849983146,0.0,0.0,0.0,0.0,0.0,0.0
46,40,4.773422,-74.044975,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9968e-05,9.9968e-05,9.9968e-05,9.9968e-05,9.9968e-05,0.0,9.9968e-05,9.9968e-05,9.9968e-05,9.9968e-05,9.9968e-05,9.9968e-05,0.0,0.0,0.0,0.0,0.0,0.0
41,30,4.719643,-74.134918,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174446489293,0.00174446489293,0.00174446489293,0.00174446489293,0.00174446489293,0.0,0.00174446489293,0.00174446489293,0.00174446489293,0.00174446489293,0.00174446489293,0.00174446489293,0.0,0.0,0.0,0.0,0.0,0.0
41,31,4.719643,-74.125923,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135533740281,0.00135533740281,0.00135533740281,0.00135533740281,0.00135533740281,0.0,0.00135533740281,0.00135533740281,0.00135533740281,0.00135533740281,0.00135533740281,0.00135533740281,0.0,0.0,0.0,0.0,0.0,0.0
41,35,4.719643,-74.089951,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001230646692,0.001230646692,0.001230646692,0.001230646692,0.001230646692,0.0,0.001230646692,0.001230646692,0.001230646692,0.001230646692,0.001230646692,0.001230646692,0.0,0.0,0.0,0.0,0.0,0.0
41,36,4.719643,-74.080956,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000145944907621,0.000145944907621,0.000145944907621,0.000145944907621,0.000145944907621,0.0,0.000145944907621,0.000145944907621,0.000145944907621,0.000145944907621,0.000145944907621,0.000145944907621,0.0,0.0,0.0,0.0,0.0,0.0
41,37,4.719643,-74.07196,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000343761086161,0.000343761086161,0.000343761086161,0.000343761086161,0.000343761086161,0.0,0.000343761086161,0.000343761086161,0.000343761086161,0.000343761086161,0.000343761086161,0.000343761086161,0.0,0.0,0.0,0.0,0.0,0.0
41,38,4.719643,-74.062965,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060964222706,0.00060964222706,0.00060964222706,0.00060964222706,0.00060964222706,0.0,0.00060964222706,0.00060964222706,0.00060964222706,0.00060964222706,0.00060964222706,0.00060964222706,0.0,0.0,0.0,0.0,0.0,0.0
41,39,4.719643,-74.05397,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000344536088239,0.000344536088239,0.000344536088239,0.000344536088239,0.000344536088239,0.0,0.000344536088239,0.000344536088239,0.000344536088239,0.000344536088239,0.000344536088239,0.000344536088239,0.0,0.0,0.0,0.0,0.0,0.0
41,40,4.719643,-74.044975,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112791095324,0.00112791095324,0.00112791095324,0.00112791095324,0.00112791095324,0.0,0.00112791095324,0.00112791095324,0.00112791095324,0.00112791095324,0.00112791095324,0.00112791095324,0.0,0.0,0.0,0.0,0.0,0.0
36,29,4.67482,-74.143913,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22379305501e-05,3.22379305501e-05,3.22379305501e-05,3.22379305501e-05,3.22379305501e-05,0.0,3.22379305501e-05,3.22379305501e-05,3.22379305501e-05,3.22379305501e-05,3.22379305501e-05,3.22379305501e-05,0.0,0.0,0.0,0.0,0.0,0.0
41,42,4.719643,-74.026985,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000308913616,0.000308913616,0.000308913616,0.000308913616,0.000308913616,0.0,0.000308913616,0.000308913616,0.000308913616,0.000308913616,0.000308913616,0.000308913616,0.0,0.0,0.0,0.0,0.0,0.0
36,31,4.67482,-74.125923,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000263135269839,0.000263135269839,0.000263135269839,0.000263135269839,0.000263135269839,0.0,0.000263135269839,0.000263135269839,0.000263135269839,0.000263135269839,0.000263135269839,0.000263135269839,0.0,0.0,0.0,0.0,0.0,0.0
36,32,4.67482,-74.116936,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000513860512,0.000513860512,0.000513860512,0.000513860512,0.000513860512,0.0,0.000513860512,0.000513860512,0.000513860512,0.000513860512,0.000513860512,0.000513860512,0.0,0.0,0.0,0.0,0.0,0.0
36,33,4.67482,-74.107941,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078359929294,0.00078359929294,0.00078359929294,0.00078359929294,0.00078359929294,0.0,0.00078359929294,0.00078359929294,0.00078359929294,0.00078359929294,0.00078359929294,0.00078359929294,0.0,0.0,0.0,0.0,0.0,0.0
36,34,4.67482,-74.098946,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146072491761,0.000146072491761,0.000146072491761,0.000146072491761,0.000146072491761,0.0,0.000146072491761,0.000146072491761,0.000146072491761,0.000146072491761,0.000146072491761,0.000146072491761,0.0,0.0,0.0,0.0,0.0,0.0
31,24,4.629997,-74.188889,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89773170806e-05,9.89773170806e-05,9.89773170806e-05,9.89773170806e-05,9.89773170806e-05,0.0,9.89773170806e-05,9.89773170806e-05,9.89773170806e-05,9.89773170806e-05,9.89773170806e-05,9.89773170806e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,25,4.629997,-74.179893,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83121912431e-07,2.83121912431e-07,2.83121912431e-07,2.83121912431e-07,2.83121912431e-07,0.0,2.83121912431e-07,2.83121912431e-07,2.83121912431e-07,2.83121912431e-07,2.83121912431e-07,2.83121912431e-07,0.0,0.0,0.0,0.0,0.0,0.0
31,26,4.629997,-74.170898,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000523286857076,0.000523286857076,0.000523286857076,0.000523286857076,0.000523286857076,0.0,0.000523286857076,0.000523286857076,0.000523286857076,0.000523286857076,0.000523286857076,0.000523286857076,0.0,0.0,0.0,0.0,0.0,0.0
36,39,4.67482,-74.05397,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128480798883,0.0128480798883,0.0128480798883,0.0128480798883,0.0128480798883,0.0,0.0128480798883,0.0128480798883,0.0128480798883,0.0128480798883,0.0128480798883,0.0128480798883,0.0,0.0,0.0,0.0,0.0,0.0
36,40,4.67482,-74.044975,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000465805394639,0.000465805394639,0.000465805394639,0.000465805394639,0.000465805394639,0.0,0.000465805394639,0.000465805394639,0.000465805394639,0.000465805394639,0.000465805394639,0.000465805394639,0.0,0.0,0.0,0.0,0.0,0.0
36,41,4.67482,-74.03598,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.947136e-05,8.947136e-05,8.947136e-05,8.947136e-05,8.947136e-05,0.0,8.947136e-05,8.947136e-05,8.947136e-05,8.947136e-05,8.947136e-05,8.947136e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,31,4.629997,-74.125923,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000237424,0.000237424,0.000237424,0.000237424,0.000237424,0.0,0.000237424,0.000237424,0.000237424,0.000237424,0.000237424,0.000237424,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000179055184,0.000179055184,0.000179055184,0.000179055184,0.000179055184,0.0,0.000179055184,0.000179055184,0.000179055184,0.000179055184,0.000179055184,0.000179055184,0.0,0.0,0.0,0.0,0.0,0.0
31,34,4.629997,-74.098946,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004185185312,0.0004185185312,0.0004185185312,0.0004185185312,0.0004185185312,0.0,0.0004185185312,0.0004185185312,0.0004185185312,0.0004185185312,0.0004185185312,0.0004185185312,0.0,0.0,0.0,0.0,0.0,0.0
31,35,4.629997,-74.089951,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002060946536,0.0002060946536,0.0002060946536,0.0002060946536,0.0002060946536,0.0,0.0002060946536,0.0002060946536,0.0002060946536,0.0002060946536,0.0002060946536,0.0002060946536,0.0,0.0,0.0,0.0,0.0,0.0
31,36,4.629997,-74.080956,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000280427484519,0.000280427484519,0.000280427484519,0.000280427484519,0.000280427484519,0.0,0.000280427484519,0.000280427484519,0.000280427484519,0.000280427484519,0.000280427484519,0.000280427484519,0.0,0.0,0.0,0.0,0.0,0.0
31,37,4.629997,-74.07196,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59546596504e-05,9.59546596504e-05,9.59546596504e-05,9.59546596504e-05,9.59546596504e-05,0.0,9.59546596504e-05,9.59546596504e-05,9.59546596504e-05,9.59546596504e-05,9.59546596504e-05,9.59546596504e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,38,4.629997,-74.062965,PTI,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033790383614,0.00033790383614,0.00033790383614,0.00033790383614,0.00033790383614,0.0,0.00033790383614,0.00033790383614,0.00033790383614,0.00033790383614,0.00033790383614,0.00033790383614,0.0,0.0,0.0,0.0,0.0,0.0
