ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
17,31,4.504471,-74.125923,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163759237179,0.0163759237179,0.0163759237179,0.0163759237179,0.0163759237179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,4.701714,-74.044975,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00176516324172,0.00176516324172,0.00176516324172,0.00176516324172,0.00176516324172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,29,4.540337,-74.143913,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000159287684598,0.000159287684598,0.000159287684598,0.000159287684598,0.000159287684598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33,4.513443,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000546491635267,0.000546491635267,0.000546491635267,0.000546491635267,0.000546491635267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32,4.5224,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059255596298,0.0059255596298,0.0059255596298,0.0059255596298,0.0059255596298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,33,4.5224,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167228143963,0.0167228143963,0.0167228143963,0.0167228143963,0.0167228143963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,29,4.531372,-74.143913,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041446316898,0.00041446316898,0.00041446316898,0.00041446316898,0.00041446316898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,33,4.531372,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297792179203,0.00297792179203,0.00297792179203,0.00297792179203,0.00297792179203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,4.728607,-74.01799,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00486779572593,0.00486779572593,0.00486779572593,0.00486779572593,0.00486779572593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,28,4.558266,-74.152908,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00123881765901,0.00123881765901,0.00123881765901,0.00123881765901,0.00123881765901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,43,4.755493,-74.01799,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00999140122673,0.00999140122673,0.00999140122673,0.00999140122673,0.00999140122673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
