ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
17,31,4.504471,-74.125923,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418843829174,0.418843829174,0.418843829174,0.418843829174,0.418843829174,0.0,0.418843829174,0.418843829174,0.418843829174,0.418843829174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,4.701714,-74.044975,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045147238345,0.045147238345,0.045147238345,0.045147238345,0.045147238345,0.0,0.045147238345,0.045147238345,0.045147238345,0.045147238345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,29,4.540337,-74.143913,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00407407025725,0.00407407025725,0.00407407025725,0.00407407025725,0.00407407025725,0.0,0.00407407025725,0.00407407025725,0.00407407025725,0.00407407025725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33,4.513443,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139775107036,0.0139775107036,0.0139775107036,0.0139775107036,0.0139775107036,0.0,0.0139775107036,0.0139775107036,0.0139775107036,0.0139775107036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32,4.5224,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151556890925,0.151556890925,0.151556890925,0.151556890925,0.151556890925,0.0,0.151556890925,0.151556890925,0.151556890925,0.151556890925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,33,4.5224,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427716184785,0.427716184785,0.427716184785,0.427716184785,0.427716184785,0.0,0.427716184785,0.427716184785,0.427716184785,0.427716184785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,29,4.531372,-74.143913,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106006441975,0.0106006441975,0.0106006441975,0.0106006441975,0.0106006441975,0.0,0.0106006441975,0.0106006441975,0.0106006441975,0.0106006441975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,33,4.531372,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076165728905,0.076165728905,0.076165728905,0.076165728905,0.076165728905,0.0,0.076165728905,0.076165728905,0.076165728905,0.076165728905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,4.728607,-74.01799,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12450266844,0.12450266844,0.12450266844,0.12450266844,0.12450266844,0.0,0.12450266844,0.12450266844,0.12450266844,0.12450266844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,28,4.558266,-74.152908,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316849993215,0.0316849993215,0.0316849993215,0.0316849993215,0.0316849993215,0.0,0.0316849993215,0.0316849993215,0.0316849993215,0.0316849993215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,43,4.755493,-74.01799,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255548134028,0.255548134028,0.255548134028,0.255548134028,0.255548134028,0.0,0.255548134028,0.255548134028,0.255548134028,0.255548134028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
