ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
17,31,4.504471,-74.125923,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420583833191,0.420583833191,0.420583833191,0.420583833191,0.420583833191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,4.701714,-74.044975,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453347936399,0.0453347936399,0.0453347936399,0.0453347936399,0.0453347936399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,29,4.540337,-74.143913,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040909951782,0.0040909951782,0.0040909951782,0.0040909951782,0.0040909951782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,33,4.513443,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140355775178,0.0140355775178,0.0140355775178,0.0140355775178,0.0140355775178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,32,4.5224,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152186504153,0.152186504153,0.152186504153,0.152186504153,0.152186504153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,33,4.5224,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429493047337,0.429493047337,0.429493047337,0.429493047337,0.429493047337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,29,4.531372,-74.143913,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010644682482,0.010644682482,0.010644682482,0.010644682482,0.010644682482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,33,4.531372,-74.107941,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764821443856,0.0764821443856,0.0764821443856,0.0764821443856,0.0764821443856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,43,4.728607,-74.01799,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125019890229,0.125019890229,0.125019890229,0.125019890229,0.125019890229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,28,4.558266,-74.152908,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318166284009,0.0318166284009,0.0318166284009,0.0318166284009,0.0318166284009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,43,4.755493,-74.01799,PK,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256609758282,0.256609758282,0.256609758282,0.256609758282,0.256609758282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
