ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,36,4.647919,-74.080956,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.246083296e-05,4.246083296e-05,4.246083296e-05,4.246083296e-05,4.246083296e-05,0.0,4.246083296e-05,4.246083296e-05,4.246083296e-05,4.246083296e-05,4.246083296e-05,4.246083296e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,30,4.603096,-74.134918,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05683953675e-05,4.05683953675e-05,4.05683953675e-05,4.05683953675e-05,4.05683953675e-05,0.0,4.05683953675e-05,4.05683953675e-05,4.05683953675e-05,4.05683953675e-05,4.05683953675e-05,4.05683953675e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,31,4.603096,-74.125923,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31991929361e-05,2.31991929361e-05,2.31991929361e-05,2.31991929361e-05,2.31991929361e-05,0.0,2.31991929361e-05,2.31991929361e-05,2.31991929361e-05,2.31991929361e-05,2.31991929361e-05,2.31991929361e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,33,4.603096,-74.107941,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49420888583e-05,4.49420888583e-05,4.49420888583e-05,4.49420888583e-05,4.49420888583e-05,0.0,4.49420888583e-05,4.49420888583e-05,4.49420888583e-05,4.49420888583e-05,4.49420888583e-05,4.49420888583e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,34,4.603096,-74.098946,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021360140893,0.00021360140893,0.00021360140893,0.00021360140893,0.00021360140893,0.0,0.00021360140893,0.00021360140893,0.00021360140893,0.00021360140893,0.00021360140893,0.00021360140893,0.0,0.0,0.0,0.0,0.0,0.0
28,35,4.603096,-74.089951,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82728375375e-05,1.82728375375e-05,1.82728375375e-05,1.82728375375e-05,1.82728375375e-05,0.0,1.82728375375e-05,1.82728375375e-05,1.82728375375e-05,1.82728375375e-05,1.82728375375e-05,1.82728375375e-05,0.0,0.0,0.0,0.0,0.0,0.0
32,37,4.638962,-74.07196,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02067175611e-06,4.02067175611e-06,4.02067175611e-06,4.02067175611e-06,4.02067175611e-06,0.0,4.02067175611e-06,4.02067175611e-06,4.02067175611e-06,4.02067175611e-06,4.02067175611e-06,4.02067175611e-06,0.0,0.0,0.0,0.0,0.0,0.0
27,31,4.594131,-74.125923,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32504079583e-06,4.32504079583e-06,4.32504079583e-06,4.32504079583e-06,4.32504079583e-06,0.0,4.32504079583e-06,4.32504079583e-06,4.32504079583e-06,4.32504079583e-06,4.32504079583e-06,4.32504079583e-06,0.0,0.0,0.0,0.0,0.0,0.0
27,34,4.594131,-74.098946,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28174837953e-05,1.28174837953e-05,1.28174837953e-05,1.28174837953e-05,1.28174837953e-05,0.0,1.28174837953e-05,1.28174837953e-05,1.28174837953e-05,1.28174837953e-05,1.28174837953e-05,1.28174837953e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,32,4.629997,-74.116936,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08904094289e-05,1.08904094289e-05,1.08904094289e-05,1.08904094289e-05,1.08904094289e-05,0.0,1.08904094289e-05,1.08904094289e-05,1.08904094289e-05,1.08904094289e-05,1.08904094289e-05,1.08904094289e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27860360453e-05,4.27860360453e-05,4.27860360453e-05,4.27860360453e-05,4.27860360453e-05,0.0,4.27860360453e-05,4.27860360453e-05,4.27860360453e-05,4.27860360453e-05,4.27860360453e-05,4.27860360453e-05,0.0,0.0,0.0,0.0,0.0,0.0
26,34,4.585175,-74.098946,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04313695492e-05,5.04313695492e-05,5.04313695492e-05,5.04313695492e-05,5.04313695492e-05,0.0,5.04313695492e-05,5.04313695492e-05,5.04313695492e-05,5.04313695492e-05,5.04313695492e-05,5.04313695492e-05,0.0,0.0,0.0,0.0,0.0,0.0
35,37,4.665855,-74.07196,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58066239333e-06,8.58066239333e-06,8.58066239333e-06,8.58066239333e-06,8.58066239333e-06,0.0,8.58066239333e-06,8.58066239333e-06,8.58066239333e-06,8.58066239333e-06,8.58066239333e-06,8.58066239333e-06,0.0,0.0,0.0,0.0,0.0,0.0
35,38,4.665855,-74.062965,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44980465022e-05,2.44980465022e-05,2.44980465022e-05,2.44980465022e-05,2.44980465022e-05,0.0,2.44980465022e-05,2.44980465022e-05,2.44980465022e-05,2.44980465022e-05,2.44980465022e-05,2.44980465022e-05,0.0,0.0,0.0,0.0,0.0,0.0
35,39,4.665855,-74.05397,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07178953447e-05,1.07178953447e-05,1.07178953447e-05,1.07178953447e-05,1.07178953447e-05,0.0,1.07178953447e-05,1.07178953447e-05,1.07178953447e-05,1.07178953447e-05,1.07178953447e-05,1.07178953447e-05,0.0,0.0,0.0,0.0,0.0,0.0
30,33,4.621033,-74.107941,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09352880806e-05,4.09352880806e-05,4.09352880806e-05,4.09352880806e-05,4.09352880806e-05,0.0,4.09352880806e-05,4.09352880806e-05,4.09352880806e-05,4.09352880806e-05,4.09352880806e-05,4.09352880806e-05,0.0,0.0,0.0,0.0,0.0,0.0
30,36,4.621033,-74.080956,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51701613194e-06,1.51701613194e-06,1.51701613194e-06,1.51701613194e-06,1.51701613194e-06,0.0,1.51701613194e-06,1.51701613194e-06,1.51701613194e-06,1.51701613194e-06,1.51701613194e-06,1.51701613194e-06,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.576202,-74.098946,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00899490406e-05,4.00899490406e-05,4.00899490406e-05,4.00899490406e-05,4.00899490406e-05,0.0,4.00899490406e-05,4.00899490406e-05,4.00899490406e-05,4.00899490406e-05,4.00899490406e-05,4.00899490406e-05,0.0,0.0,0.0,0.0,0.0,0.0
34,36,4.656898,-74.080956,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30618839967e-05,2.30618839967e-05,2.30618839967e-05,2.30618839967e-05,2.30618839967e-05,0.0,2.30618839967e-05,2.30618839967e-05,2.30618839967e-05,2.30618839967e-05,2.30618839967e-05,2.30618839967e-05,0.0,0.0,0.0,0.0,0.0,0.0
34,37,4.656898,-74.07196,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23155121989e-05,1.23155121989e-05,1.23155121989e-05,1.23155121989e-05,1.23155121989e-05,0.0,1.23155121989e-05,1.23155121989e-05,1.23155121989e-05,1.23155121989e-05,1.23155121989e-05,1.23155121989e-05,0.0,0.0,0.0,0.0,0.0,0.0
29,32,4.612068,-74.116936,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21522237453e-05,1.21522237453e-05,1.21522237453e-05,1.21522237453e-05,1.21522237453e-05,0.0,1.21522237453e-05,1.21522237453e-05,1.21522237453e-05,1.21522237453e-05,1.21522237453e-05,1.21522237453e-05,0.0,0.0,0.0,0.0,0.0,0.0
