ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,36,4.647919,-74.080956,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6377749856e-05,1.6377749856e-05,1.6377749856e-05,1.6377749856e-05,1.6377749856e-05,0.0,1.6377749856e-05,1.6377749856e-05,1.6377749856e-05,1.6377749856e-05,1.6377749856e-05,1.6377749856e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,30,4.603096,-74.134918,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56478096418e-05,1.56478096418e-05,1.56478096418e-05,1.56478096418e-05,1.56478096418e-05,0.0,1.56478096418e-05,1.56478096418e-05,1.56478096418e-05,1.56478096418e-05,1.56478096418e-05,1.56478096418e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,31,4.603096,-74.125923,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9482601325e-06,8.9482601325e-06,8.9482601325e-06,8.9482601325e-06,8.9482601325e-06,0.0,8.9482601325e-06,8.9482601325e-06,8.9482601325e-06,8.9482601325e-06,8.9482601325e-06,8.9482601325e-06,0.0,0.0,0.0,0.0,0.0,0.0
28,33,4.603096,-74.107941,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73348057025e-05,1.73348057025e-05,1.73348057025e-05,1.73348057025e-05,1.73348057025e-05,0.0,1.73348057025e-05,1.73348057025e-05,1.73348057025e-05,1.73348057025e-05,1.73348057025e-05,1.73348057025e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,34,4.603096,-74.098946,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2389114873e-05,8.2389114873e-05,8.2389114873e-05,8.2389114873e-05,8.2389114873e-05,0.0,8.2389114873e-05,8.2389114873e-05,8.2389114873e-05,8.2389114873e-05,8.2389114873e-05,8.2389114873e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,35,4.603096,-74.089951,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04809447875e-06,7.04809447875e-06,7.04809447875e-06,7.04809447875e-06,7.04809447875e-06,0.0,7.04809447875e-06,7.04809447875e-06,7.04809447875e-06,7.04809447875e-06,7.04809447875e-06,7.04809447875e-06,0.0,0.0,0.0,0.0,0.0,0.0
32,37,4.638962,-74.07196,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5508305345e-06,1.5508305345e-06,1.5508305345e-06,1.5508305345e-06,1.5508305345e-06,0.0,1.5508305345e-06,1.5508305345e-06,1.5508305345e-06,1.5508305345e-06,1.5508305345e-06,1.5508305345e-06,0.0,0.0,0.0,0.0,0.0,0.0
27,31,4.594131,-74.125923,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66823002125e-06,1.66823002125e-06,1.66823002125e-06,1.66823002125e-06,1.66823002125e-06,0.0,1.66823002125e-06,1.66823002125e-06,1.66823002125e-06,1.66823002125e-06,1.66823002125e-06,1.66823002125e-06,0.0,0.0,0.0,0.0,0.0,0.0
27,34,4.594131,-74.098946,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94388660675e-06,4.94388660675e-06,4.94388660675e-06,4.94388660675e-06,4.94388660675e-06,0.0,4.94388660675e-06,4.94388660675e-06,4.94388660675e-06,4.94388660675e-06,4.94388660675e-06,4.94388660675e-06,0.0,0.0,0.0,0.0,0.0,0.0
31,32,4.629997,-74.116936,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200586494e-06,4.200586494e-06,4.200586494e-06,4.200586494e-06,4.200586494e-06,0.0,4.200586494e-06,4.200586494e-06,4.200586494e-06,4.200586494e-06,4.200586494e-06,4.200586494e-06,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65031853318e-05,1.65031853318e-05,1.65031853318e-05,1.65031853318e-05,1.65031853318e-05,0.0,1.65031853318e-05,1.65031853318e-05,1.65031853318e-05,1.65031853318e-05,1.65031853318e-05,1.65031853318e-05,0.0,0.0,0.0,0.0,0.0,0.0
26,34,4.585175,-74.098946,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94520996832e-05,1.94520996832e-05,1.94520996832e-05,1.94520996832e-05,1.94520996832e-05,0.0,1.94520996832e-05,1.94520996832e-05,1.94520996832e-05,1.94520996832e-05,1.94520996832e-05,1.94520996832e-05,0.0,0.0,0.0,0.0,0.0,0.0
35,37,4.665855,-74.07196,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.309684066e-06,3.309684066e-06,3.309684066e-06,3.309684066e-06,3.309684066e-06,0.0,3.309684066e-06,3.309684066e-06,3.309684066e-06,3.309684066e-06,3.309684066e-06,3.309684066e-06,0.0,0.0,0.0,0.0,0.0,0.0
35,38,4.665855,-74.062965,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.449246508e-06,9.449246508e-06,9.449246508e-06,9.449246508e-06,9.449246508e-06,0.0,9.449246508e-06,9.449246508e-06,9.449246508e-06,9.449246508e-06,9.449246508e-06,9.449246508e-06,0.0,0.0,0.0,0.0,0.0,0.0
35,39,4.665855,-74.05397,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13404534725e-06,4.13404534725e-06,4.13404534725e-06,4.13404534725e-06,4.13404534725e-06,0.0,4.13404534725e-06,4.13404534725e-06,4.13404534725e-06,4.13404534725e-06,4.13404534725e-06,4.13404534725e-06,0.0,0.0,0.0,0.0,0.0,0.0
30,33,4.621033,-74.107941,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57893254025e-05,1.57893254025e-05,1.57893254025e-05,1.57893254025e-05,1.57893254025e-05,0.0,1.57893254025e-05,1.57893254025e-05,1.57893254025e-05,1.57893254025e-05,1.57893254025e-05,1.57893254025e-05,0.0,0.0,0.0,0.0,0.0,0.0
30,36,4.621033,-74.080956,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8513479375e-07,5.8513479375e-07,5.8513479375e-07,5.8513479375e-07,5.8513479375e-07,0.0,5.8513479375e-07,5.8513479375e-07,5.8513479375e-07,5.8513479375e-07,5.8513479375e-07,5.8513479375e-07,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.576202,-74.098946,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54632660585e-05,1.54632660585e-05,1.54632660585e-05,1.54632660585e-05,1.54632660585e-05,0.0,1.54632660585e-05,1.54632660585e-05,1.54632660585e-05,1.54632660585e-05,1.54632660585e-05,1.54632660585e-05,0.0,0.0,0.0,0.0,0.0,0.0
34,36,4.656898,-74.080956,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.895298113e-06,8.895298113e-06,8.895298113e-06,8.895298113e-06,8.895298113e-06,0.0,8.895298113e-06,8.895298113e-06,8.895298113e-06,8.895298113e-06,8.895298113e-06,8.895298113e-06,0.0,0.0,0.0,0.0,0.0,0.0
34,37,4.656898,-74.07196,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.750268991e-06,4.750268991e-06,4.750268991e-06,4.750268991e-06,4.750268991e-06,0.0,4.750268991e-06,4.750268991e-06,4.750268991e-06,4.750268991e-06,4.750268991e-06,4.750268991e-06,0.0,0.0,0.0,0.0,0.0,0.0
29,32,4.612068,-74.116936,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68728630175e-06,4.68728630175e-06,4.68728630175e-06,4.68728630175e-06,4.68728630175e-06,0.0,4.68728630175e-06,4.68728630175e-06,4.68728630175e-06,4.68728630175e-06,4.68728630175e-06,4.68728630175e-06,0.0,0.0,0.0,0.0,0.0,0.0
29,33,4.612068,-74.107941,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92517438425e-06,1.92517438425e-06,1.92517438425e-06,1.92517438425e-06,1.92517438425e-06,0.0,1.92517438425e-06,1.92517438425e-06,1.92517438425e-06,1.92517438425e-06,1.92517438425e-06,1.92517438425e-06,0.0,0.0,0.0,0.0,0.0,0.0
29,35,4.612068,-74.089951,PFE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82281693955e-05,5.82281693955e-05,5.82281693955e-05,5.82281693955e-05,5.82281693955e-05,0.0,5.82281693955e-05,5.82281693955e-05,5.82281693955e-05,5.82281693955e-05,5.82281693955e-05,5.82281693955e-05,0.0,0.0,0.0,0.0,0.0,0.0
