ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,36,4.647919,-74.080956,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000305051,0.000305051,0.000305051,0.000305051,0.000305051,0.0,0.000305051,0.000305051,0.000305051,0.000305051,0.000305051,0.000305051,0.0,0.0,0.0,0.0,0.0,0.0
28,30,4.603096,-74.134918,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155898548,0.000155898548,0.000155898548,0.000155898548,0.000155898548,0.0,0.000155898548,0.000155898548,0.000155898548,0.000155898548,0.000155898548,0.000155898548,0.0,0.0,0.0,0.0,0.0,0.0
28,31,4.603096,-74.125923,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000154744406,0.000154744406,0.000154744406,0.000154744406,0.000154744406,0.0,0.000154744406,0.000154744406,0.000154744406,0.000154744406,0.000154744406,0.000154744406,0.0,0.0,0.0,0.0,0.0,0.0
28,33,4.603096,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000245081268758,0.000245081268758,0.000245081268758,0.000245081268758,0.000245081268758,0.0,0.000245081268758,0.000245081268758,0.000245081268758,0.000245081268758,0.000245081268758,0.000245081268758,0.0,0.0,0.0,0.0,0.0,0.0
28,34,4.594131,-74.098946,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011305745758,0.00011305745758,0.00011305745758,0.00011305745758,0.00011305745758,0.0,0.00011305745758,0.00011305745758,0.00011305745758,0.00011305745758,0.00011305745758,0.00011305745758,0.0,0.0,0.0,0.0,0.0,0.0
28,35,4.603096,-74.089951,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000103381523717,0.000103381523717,0.000103381523717,0.000103381523717,0.000103381523717,0.0,0.000103381523717,0.000103381523717,0.000103381523717,0.000103381523717,0.000103381523717,0.000103381523717,0.0,0.0,0.0,0.0,0.0,0.0
32,37,4.638962,-74.07196,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5544e-05,1.5544e-05,1.5544e-05,1.5544e-05,1.5544e-05,0.0,1.5544e-05,1.5544e-05,1.5544e-05,1.5544e-05,1.5544e-05,1.5544e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,32,4.629997,-74.116936,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0385175e-05,7.0385175e-05,7.0385175e-05,7.0385175e-05,7.0385175e-05,0.0,7.0385175e-05,7.0385175e-05,7.0385175e-05,7.0385175e-05,7.0385175e-05,7.0385175e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000326861175,0.000326861175,0.000326861175,0.000326861175,0.000326861175,0.0,0.000326861175,0.000326861175,0.000326861175,0.000326861175,0.000326861175,0.000326861175,0.0,0.0,0.0,0.0,0.0,0.0
26,31,4.594131,-74.125923,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0633338e-05,3.0633338e-05,3.0633338e-05,3.0633338e-05,3.0633338e-05,0.0,3.0633338e-05,3.0633338e-05,3.0633338e-05,3.0633338e-05,3.0633338e-05,3.0633338e-05,0.0,0.0,0.0,0.0,0.0,0.0
26,34,4.585175,-74.098946,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000211001317502,0.000211001317502,0.000211001317502,0.000211001317502,0.000211001317502,0.0,0.000211001317502,0.000211001317502,0.000211001317502,0.000211001317502,0.000211001317502,0.000211001317502,0.0,0.0,0.0,0.0,0.0,0.0
35,37,4.665855,-74.07196,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.849083e-05,3.849083e-05,3.849083e-05,3.849083e-05,3.849083e-05,0.0,3.849083e-05,3.849083e-05,3.849083e-05,3.849083e-05,3.849083e-05,3.849083e-05,0.0,0.0,0.0,0.0,0.0,0.0
35,38,4.665855,-74.062965,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2176e-05,6.2176e-05,6.2176e-05,6.2176e-05,6.2176e-05,0.0,6.2176e-05,6.2176e-05,6.2176e-05,6.2176e-05,6.2176e-05,6.2176e-05,0.0,0.0,0.0,0.0,0.0,0.0
35,39,4.665855,-74.05397,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7202e-05,2.7202e-05,2.7202e-05,2.7202e-05,2.7202e-05,0.0,2.7202e-05,2.7202e-05,2.7202e-05,2.7202e-05,2.7202e-05,2.7202e-05,0.0,0.0,0.0,0.0,0.0,0.0
30,33,4.621033,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000435476818,0.000435476818,0.000435476818,0.000435476818,0.000435476818,0.0,0.000435476818,0.000435476818,0.000435476818,0.000435476818,0.000435476818,0.000435476818,0.0,0.0,0.0,0.0,0.0,0.0
30,36,4.621033,-74.080956,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.715e-06,9.715e-06,9.715e-06,9.715e-06,9.715e-06,0.0,9.715e-06,9.715e-06,9.715e-06,9.715e-06,9.715e-06,9.715e-06,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.576202,-74.098946,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014626571278,0.00014626571278,0.00014626571278,0.00014626571278,0.00014626571278,0.0,0.00014626571278,0.00014626571278,0.00014626571278,0.00014626571278,0.00014626571278,0.00014626571278,0.0,0.0,0.0,0.0,0.0,0.0
34,36,4.656898,-74.080956,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000172927,0.000172927,0.000172927,0.000172927,0.000172927,0.0,0.000172927,0.000172927,0.000172927,0.000172927,0.000172927,0.000172927,0.0,0.0,0.0,0.0,0.0,0.0
34,37,4.656898,-74.07196,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7287412e-05,5.7287412e-05,5.7287412e-05,5.7287412e-05,5.7287412e-05,0.0,5.7287412e-05,5.7287412e-05,5.7287412e-05,5.7287412e-05,5.7287412e-05,5.7287412e-05,0.0,0.0,0.0,0.0,0.0,0.0
29,32,4.612068,-74.116936,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17745e-05,4.17745e-05,4.17745e-05,4.17745e-05,4.17745e-05,0.0,4.17745e-05,4.17745e-05,4.17745e-05,4.17745e-05,4.17745e-05,4.17745e-05,0.0,0.0,0.0,0.0,0.0,0.0
29,33,4.612068,-74.107941,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9104818e-05,3.9104818e-05,3.9104818e-05,3.9104818e-05,3.9104818e-05,0.0,3.9104818e-05,3.9104818e-05,3.9104818e-05,3.9104818e-05,3.9104818e-05,3.9104818e-05,0.0,0.0,0.0,0.0,0.0,0.0
29,35,4.612068,-74.089951,PH2O,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000682223807258,0.000682223807258,0.000682223807258,0.000682223807258,0.000682223807258,0.0,0.000682223807258,0.000682223807258,0.000682223807258,0.000682223807258,0.000682223807258,0.000682223807258,0.0,0.0,0.0,0.0,0.0,0.0
