ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
27,34,4.594131,-74.098946,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172516282556,0.00172516282556,0.00172516282556,0.00172516282556,0.00172516282556,0.0,0.00172516282556,0.00172516282556,0.00172516282556,0.00172516282556,0.00172516282556,0.00172516282556,0.0,0.0,0.0,0.0,0.0,0.0
27,31,4.594131,-74.125923,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000582126704167,0.000582126704167,0.000582126704167,0.000582126704167,0.000582126704167,0.0,0.000582126704167,0.000582126704167,0.000582126704167,0.000582126704167,0.000582126704167,0.000582126704167,0.0,0.0,0.0,0.0,0.0,0.0
26,34,4.585175,-74.098946,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00678778497861,0.00678778497861,0.00678778497861,0.00678778497861,0.00678778497861,0.0,0.00678778497861,0.00678778497861,0.00678778497861,0.00678778497861,0.00678778497861,0.00678778497861,0.0,0.0,0.0,0.0,0.0,0.0
35,37,4.665855,-74.07196,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115490996722,0.00115490996722,0.00115490996722,0.00115490996722,0.00115490996722,0.0,0.00115490996722,0.00115490996722,0.00115490996722,0.00115490996722,0.00115490996722,0.00115490996722,0.0,0.0,0.0,0.0,0.0,0.0
35,39,4.665855,-74.05397,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014425697675,0.0014425697675,0.0014425697675,0.0014425697675,0.0014425697675,0.0,0.0014425697675,0.0014425697675,0.0014425697675,0.0014425697675,0.0014425697675,0.0014425697675,0.0,0.0,0.0,0.0,0.0,0.0
35,38,4.665855,-74.062965,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00329730232556,0.00329730232556,0.00329730232556,0.00329730232556,0.00329730232556,0.0,0.00329730232556,0.00329730232556,0.00329730232556,0.00329730232556,0.00329730232556,0.00329730232556,0.0,0.0,0.0,0.0,0.0,0.0
32,37,4.638962,-74.07196,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000541160305278,0.000541160305278,0.000541160305278,0.000541160305278,0.000541160305278,0.0,0.000541160305278,0.000541160305278,0.000541160305278,0.000541160305278,0.000541160305278,0.000541160305278,0.0,0.0,0.0,0.0,0.0,0.0
34,36,4.656898,-74.080956,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00310400274778,0.00310400274778,0.00310400274778,0.00310400274778,0.00310400274778,0.0,0.00310400274778,0.00310400274778,0.00310400274778,0.00310400274778,0.00310400274778,0.00310400274778,0.0,0.0,0.0,0.0,0.0,0.0
34,37,4.656898,-74.07196,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165760020861,0.00165760020861,0.00165760020861,0.00165760020861,0.00165760020861,0.0,0.00165760020861,0.00165760020861,0.00165760020861,0.00165760020861,0.00165760020861,0.00165760020861,0.0,0.0,0.0,0.0,0.0,0.0
29,35,4.612068,-74.089951,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203186442561,0.0203186442561,0.0203186442561,0.0203186442561,0.0203186442561,0.0,0.0203186442561,0.0203186442561,0.0203186442561,0.0203186442561,0.0203186442561,0.0203186442561,0.0,0.0,0.0,0.0,0.0,0.0
29,32,4.612068,-74.116936,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00163562248222,0.00163562248222,0.00163562248222,0.00163562248222,0.00163562248222,0.0,0.00163562248222,0.00163562248222,0.00163562248222,0.00163562248222,0.00163562248222,0.00163562248222,0.0,0.0,0.0,0.0,0.0,0.0
29,33,4.612068,-74.107941,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000671787107778,0.000671787107778,0.000671787107778,0.000671787107778,0.000671787107778,0.0,0.000671787107778,0.000671787107778,0.000671787107778,0.000671787107778,0.000671787107778,0.000671787107778,0.0,0.0,0.0,0.0,0.0,0.0
33,36,4.647919,-74.080956,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00571499459,0.00571499459,0.00571499459,0.00571499459,0.00571499459,0.0,0.00571499459,0.00571499459,0.00571499459,0.00571499459,0.00571499459,0.00571499459,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00575876513528,0.00575876513528,0.00575876513528,0.00575876513528,0.00575876513528,0.0,0.00575876513528,0.00575876513528,0.00575876513528,0.00575876513528,0.00575876513528,0.00575876513528,0.0,0.0,0.0,0.0,0.0,0.0
31,32,4.629997,-74.116936,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00146578921222,0.00146578921222,0.00146578921222,0.00146578921222,0.00146578921222,0.0,0.00146578921222,0.00146578921222,0.00146578921222,0.00146578921222,0.00146578921222,0.00146578921222,0.0,0.0,0.0,0.0,0.0,0.0
28,35,4.603096,-74.089951,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00245942343417,0.00245942343417,0.00245942343417,0.00245942343417,0.00245942343417,0.0,0.00245942343417,0.00245942343417,0.00245942343417,0.00245942343417,0.00245942343417,0.00245942343417,0.0,0.0,0.0,0.0,0.0,0.0
28,34,4.603096,-74.098946,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287495748811,0.0287495748811,0.0287495748811,0.0287495748811,0.0287495748811,0.0,0.0287495748811,0.0287495748811,0.0287495748811,0.0287495748811,0.0287495748811,0.0287495748811,0.0,0.0,0.0,0.0,0.0,0.0
28,33,4.603096,-74.107941,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00604895798611,0.00604895798611,0.00604895798611,0.00604895798611,0.00604895798611,0.0,0.00604895798611,0.00604895798611,0.00604895798611,0.00604895798611,0.00604895798611,0.00604895798611,0.0,0.0,0.0,0.0,0.0,0.0
28,31,4.603096,-74.125923,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00312248377778,0.00312248377778,0.00312248377778,0.00312248377778,0.00312248377778,0.0,0.00312248377778,0.00312248377778,0.00312248377778,0.00312248377778,0.00312248377778,0.00312248377778,0.0,0.0,0.0,0.0,0.0,0.0
28,30,4.603096,-74.134918,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546028289639,0.00546028289639,0.00546028289639,0.00546028289639,0.00546028289639,0.0,0.00546028289639,0.00546028289639,0.00546028289639,0.00546028289639,0.00546028289639,0.00546028289639,0.0,0.0,0.0,0.0,0.0,0.0
30,36,4.621033,-74.080956,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002041820275,0.0002041820275,0.0002041820275,0.0002041820275,0.0002041820275,0.0,0.0002041820275,0.0002041820275,0.0002041820275,0.0002041820275,0.0002041820275,0.0002041820275,0.0,0.0,0.0,0.0,0.0,0.0
30,33,4.621033,-74.107941,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00550966463889,0.00550966463889,0.00550966463889,0.00550966463889,0.00550966463889,0.0,0.00550966463889,0.00550966463889,0.00550966463889,0.00550966463889,0.00550966463889,0.00550966463889,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.576202,-74.098946,PMC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00539588665389,0.00539588665389,0.00539588665389,0.00539588665389,0.00539588665389,0.0,0.00539588665389,0.00539588665389,0.00539588665389,0.00539588665389,0.00539588665389,0.00539588665389,0.0,0.0,0.0,0.0,0.0,0.0
