ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,36,4.647919,-74.080956,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011951625,0.00011951625,0.00011951625,0.00011951625,0.00011951625,0.0,0.00011951625,0.00011951625,0.00011951625,0.00011951625,0.00011951625,0.00011951625,0.0,0.0,0.0,0.0,0.0,0.0
28,30,4.603096,-74.134918,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1079655e-05,6.1079655e-05,6.1079655e-05,6.1079655e-05,6.1079655e-05,0.0,6.1079655e-05,6.1079655e-05,6.1079655e-05,6.1079655e-05,6.1079655e-05,6.1079655e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,31,4.603096,-74.125923,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06274725e-05,6.06274725e-05,6.06274725e-05,6.06274725e-05,6.06274725e-05,0.0,6.06274725e-05,6.06274725e-05,6.06274725e-05,6.06274725e-05,6.06274725e-05,6.06274725e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,33,4.603096,-74.107941,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60206463417e-05,9.60206463417e-05,9.60206463417e-05,9.60206463417e-05,9.60206463417e-05,0.0,9.60206463417e-05,9.60206463417e-05,9.60206463417e-05,9.60206463417e-05,9.60206463417e-05,9.60206463417e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,34,4.594131,-74.098946,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4294899425e-05,4.4294899425e-05,4.4294899425e-05,4.4294899425e-05,4.4294899425e-05,0.0,4.4294899425e-05,4.4294899425e-05,4.4294899425e-05,4.4294899425e-05,4.4294899425e-05,4.4294899425e-05,0.0,0.0,0.0,0.0,0.0,0.0
28,35,4.603096,-74.089951,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05039551875e-05,4.05039551875e-05,4.05039551875e-05,4.05039551875e-05,4.05039551875e-05,0.0,4.05039551875e-05,4.05039551875e-05,4.05039551875e-05,4.05039551875e-05,4.05039551875e-05,4.05039551875e-05,0.0,0.0,0.0,0.0,0.0,0.0
32,37,4.638962,-74.07196,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09e-06,6.09e-06,6.09e-06,6.09e-06,6.09e-06,0.0,6.09e-06,6.09e-06,6.09e-06,6.09e-06,6.09e-06,6.09e-06,0.0,0.0,0.0,0.0,0.0,0.0
31,32,4.629997,-74.116936,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.757628125e-05,2.757628125e-05,2.757628125e-05,2.757628125e-05,2.757628125e-05,0.0,2.757628125e-05,2.757628125e-05,2.757628125e-05,2.757628125e-05,2.757628125e-05,2.757628125e-05,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012806128125,0.00012806128125,0.00012806128125,0.00012806128125,0.00012806128125,0.0,0.00012806128125,0.00012806128125,0.00012806128125,0.00012806128125,0.00012806128125,0.00012806128125,0.0,0.0,0.0,0.0,0.0,0.0
26,31,4.594131,-74.125923,PMN,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20018675e-05,1.20018675e-05,1.20018675e-05,1.20018675e-05,1.20018675e-05,0.0,1.20018675e-05,1.20018675e-05,1.20018675e-05,1.20018675e-05,1.20018675e-05,1.20018675e-05,0.0,0.0,0.0,0.0,0.0,0.0
