ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,36,4.647919,-74.080956,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07093551235,0.07093551235,0.07093551235,0.07093551235,0.07093551235,0.0,0.07093551235,0.07093551235,0.07093551235,0.07093551235,0.07093551235,0.07093551235,0.0,0.0,0.0,0.0,0.0,0.0
28,30,4.603096,-74.134918,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362521131778,0.0362521131778,0.0362521131778,0.0362521131778,0.0362521131778,0.0,0.0362521131778,0.0362521131778,0.0362521131778,0.0362521131778,0.0362521131778,0.0362521131778,0.0,0.0,0.0,0.0,0.0,0.0
28,31,4.603096,-74.125923,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359837329591,0.0359837329591,0.0359837329591,0.0359837329591,0.0359837329591,0.0,0.0359837329591,0.0359837329591,0.0359837329591,0.0359837329591,0.0359837329591,0.0359837329591,0.0,0.0,0.0,0.0,0.0,0.0
28,33,4.603096,-74.107941,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569903569132,0.0569903569132,0.0569903569132,0.0569903569132,0.0569903569132,0.0,0.0569903569132,0.0569903569132,0.0569903569132,0.0569903569132,0.0569903569132,0.0569903569132,0.0,0.0,0.0,0.0,0.0,0.0
28,34,4.594131,-74.098946,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026289993078,0.026289993078,0.026289993078,0.026289993078,0.026289993078,0.0,0.026289993078,0.026289993078,0.026289993078,0.026289993078,0.026289993078,0.026289993078,0.0,0.0,0.0,0.0,0.0,0.0
28,35,4.603096,-74.089951,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240399846333,0.0240399846333,0.0240399846333,0.0240399846333,0.0240399846333,0.0,0.0240399846333,0.0240399846333,0.0240399846333,0.0240399846333,0.0240399846333,0.0240399846333,0.0,0.0,0.0,0.0,0.0,0.0
32,37,4.638962,-74.07196,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036145484,0.0036145484,0.0036145484,0.0036145484,0.0036145484,0.0,0.0036145484,0.0036145484,0.0036145484,0.0036145484,0.0036145484,0.0036145484,0.0,0.0,0.0,0.0,0.0,0.0
31,32,4.629997,-74.116936,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163671269737,0.0163671269737,0.0163671269737,0.0163671269737,0.0163671269737,0.0,0.0163671269737,0.0163671269737,0.0163671269737,0.0163671269737,0.0163671269737,0.0163671269737,0.0,0.0,0.0,0.0,0.0,0.0
31,33,4.629997,-74.107941,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0760071755738,0.0760071755738,0.0760071755738,0.0760071755738,0.0760071755738,0.0,0.0760071755738,0.0760071755738,0.0760071755738,0.0760071755738,0.0760071755738,0.0760071755738,0.0,0.0,0.0,0.0,0.0,0.0
26,31,4.594131,-74.125923,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071233712593,0.0071233712593,0.0071233712593,0.0071233712593,0.0071233712593,0.0,0.0071233712593,0.0071233712593,0.0071233712593,0.0071233712593,0.0071233712593,0.0071233712593,0.0,0.0,0.0,0.0,0.0,0.0
26,34,4.585175,-74.098946,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490655220391,0.0490655220391,0.0490655220391,0.0490655220391,0.0490655220391,0.0,0.0490655220391,0.0490655220391,0.0490655220391,0.0490655220391,0.0490655220391,0.0490655220391,0.0,0.0,0.0,0.0,0.0,0.0
35,37,4.665855,-74.07196,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089505254755,0.0089505254755,0.0089505254755,0.0089505254755,0.0089505254755,0.0,0.0089505254755,0.0089505254755,0.0089505254755,0.0089505254755,0.0089505254755,0.0089505254755,0.0,0.0,0.0,0.0,0.0,0.0
35,38,4.665855,-74.062965,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144581936,0.0144581936,0.0144581936,0.0144581936,0.0144581936,0.0,0.0144581936,0.0144581936,0.0144581936,0.0144581936,0.0144581936,0.0144581936,0.0,0.0,0.0,0.0,0.0,0.0
35,39,4.665855,-74.05397,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063254597,0.0063254597,0.0063254597,0.0063254597,0.0063254597,0.0,0.0063254597,0.0063254597,0.0063254597,0.0063254597,0.0063254597,0.0063254597,0.0,0.0,0.0,0.0,0.0,0.0
30,33,4.621033,-74.107941,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101264284337,0.101264284337,0.101264284337,0.101264284337,0.101264284337,0.0,0.101264284337,0.101264284337,0.101264284337,0.101264284337,0.101264284337,0.101264284337,0.0,0.0,0.0,0.0,0.0,0.0
30,36,4.621033,-74.080956,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225909275,0.00225909275,0.00225909275,0.00225909275,0.00225909275,0.0,0.00225909275,0.00225909275,0.00225909275,0.00225909275,0.00225909275,0.00225909275,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.576202,-74.098946,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340121267437,0.0340121267437,0.0340121267437,0.0340121267437,0.0340121267437,0.0,0.0340121267437,0.0340121267437,0.0340121267437,0.0340121267437,0.0340121267437,0.0340121267437,0.0,0.0,0.0,0.0,0.0,0.0
34,36,4.656898,-74.080956,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04021185095,0.04021185095,0.04021185095,0.04021185095,0.04021185095,0.0,0.04021185095,0.04021185095,0.04021185095,0.04021185095,0.04021185095,0.04021185095,0.0,0.0,0.0,0.0,0.0,0.0
34,37,4.656898,-74.07196,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133214181282,0.0133214181282,0.0133214181282,0.0133214181282,0.0133214181282,0.0,0.0133214181282,0.0133214181282,0.0133214181282,0.0133214181282,0.0133214181282,0.0133214181282,0.0,0.0,0.0,0.0,0.0,0.0
29,32,4.612068,-74.116936,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009714098825,0.009714098825,0.009714098825,0.009714098825,0.009714098825,0.0,0.009714098825,0.009714098825,0.009714098825,0.009714098825,0.009714098825,0.009714098825,0.0,0.0,0.0,0.0,0.0,0.0
29,33,4.612068,-74.107941,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090933001373,0.0090933001373,0.0090933001373,0.0090933001373,0.0090933001373,0.0,0.0090933001373,0.0090933001373,0.0090933001373,0.0090933001373,0.0090933001373,0.0090933001373,0.0,0.0,0.0,0.0,0.0,0.0
29,35,4.612068,-74.089951,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158641982177,0.158641982177,0.158641982177,0.158641982177,0.158641982177,0.0,0.158641982177,0.158641982177,0.158641982177,0.158641982177,0.158641982177,0.158641982177,0.0,0.0,0.0,0.0,0.0,0.0
