ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04847274842e-08,1.50221334884e-08,6.82824249475e-09,4.77976974631e-09,2.04847274842e-09,2.04847274842e-09,6.82824249475e-09,2.04847274842e-09,2.04847274842e-09,2.04847274842e-09,2.04847274842e-09,2.04847274842e-09,0.0,0.0,0.0
23,33,4.555199,-74.107463,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49034059217e-07,4.02624976759e-07,1.83011353072e-07,1.2810794715e-07,5.49034059217e-08,5.49034059217e-08,1.83011353072e-07,5.49034059217e-08,5.49034059217e-08,5.49034059217e-08,5.49034059217e-08,5.49034059217e-08,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29635834351e-07,2.29139111654e-07,2.00496722697e-07,1.43211944783e-07,1.43211944783e-07,5.72847779133e-07,2.86423889567e-07,2.29139111654e-07,2.29139111654e-07,2.00496722697e-07,2.00496722697e-07,0.0,0.0
35,36,4.66842577464,-74.0797136427,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61188609745e-07,4.61188609745e-07,1.64710217766e-06,9.88261306597e-07,6.58840871067e-07,5.92956783955e-07,6.58840871067e-07,6.58840871067e-07,6.58840871067e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46259399579e-08,4.00590226358e-08,1.82086466526e-08,1.27460526568e-08,5.46259399579e-09,5.46259399579e-09,1.82086466526e-08,5.46259399579e-09,5.46259399579e-09,5.46259399579e-09,5.46259399579e-09,5.46259399579e-09,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35527159488e-07,6.12719916959e-07,2.78509053162e-07,1.94956337213e-07,8.35527159488e-08,8.35527159488e-08,2.78509053162e-07,8.35527159488e-08,8.35527159488e-08,8.35527159488e-08,8.35527159488e-08,8.35527159488e-08,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00442669768e-08,2.20324624497e-08,1.00147556589e-08,7.01032896122e-09,3.00442669768e-09,3.00442669768e-09,1.00147556589e-08,3.00442669768e-09,3.00442669768e-09,3.00442669768e-09,3.00442669768e-09,3.00442669768e-09,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92905682239e-08,2.14797500308e-08,9.76352274131e-09,6.83446591888e-09,2.92905682239e-09,2.92905682239e-09,9.76352274131e-09,2.92905682239e-09,2.92905682239e-09,2.92905682239e-09,2.92905682239e-09,2.92905682239e-09,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72974414301e-07,1.72974414301e-07,6.1776576536e-07,3.70659459216e-07,2.47106306144e-07,2.22395675529e-07,2.47106306144e-07,2.47106306144e-07,2.47106306144e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22226875762e-07,1.71854333739e-07,1.50372542022e-07,1.07408958587e-07,1.07408958587e-07,4.29635834349e-07,2.14817917174e-07,1.71854333739e-07,1.71854333739e-07,1.50372542022e-07,1.50372542022e-07,0.0,0.0
28,31,4.60476388889,-74.1292583333,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05476415632e-07,2.97349371464e-07,1.35158805211e-07,9.46111636478e-08,4.05476415632e-08,4.05476415632e-08,1.35158805211e-07,4.05476415632e-08,4.05476415632e-08,4.05476415632e-08,4.05476415632e-08,4.05476415632e-08,0.0,0.0,0.0
46,39,4.765185,-74.050677,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45636765668e-08,2.45636765668e-08,8.77274163102e-08,5.26364497861e-08,3.5090966524e-08,3.15818698717e-08,3.5090966524e-08,3.5090966524e-08,3.5090966524e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,ETHA,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72020297542e-07,1.72020297542e-07,6.14358205507e-07,3.68614923303e-07,2.45743282202e-07,2.21168953982e-07,2.45743282202e-07,2.45743282202e-07,2.45743282202e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
