ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,34,4.69066092334,-74.0999955537,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15578459055e-06,8.47575366409e-07,3.85261530184e-07,2.69683071129e-07,1.15578459055e-07,1.15578459055e-07,3.85261530184e-07,1.15578459055e-07,1.15578459055e-07,1.15578459055e-07,1.15578459055e-07,1.15578459055e-07,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75269054947e-08,2.01863973628e-08,9.17563516493e-09,6.42294461543e-09,2.75269054947e-09,2.75269054947e-09,9.17563516493e-09,2.75269054947e-09,2.75269054947e-09,2.75269054947e-09,2.75269054947e-09,2.75269054947e-09,0.0,0.0,0.0
23,33,4.555199,-74.107463,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37779336978e-07,5.4103818045e-07,2.45926445659e-07,1.72148511961e-07,7.37779336978e-08,7.37779336978e-08,2.45926445659e-07,7.37779336978e-08,7.37779336978e-08,7.37779336978e-08,7.37779336978e-08,7.37779336978e-08,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77334749434e-07,3.07911866365e-07,2.6942288307e-07,1.92444916478e-07,1.92444916478e-07,7.69779665911e-07,3.84889832956e-07,3.07911866365e-07,3.07911866365e-07,2.6942288307e-07,2.6942288307e-07,0.0,0.0
35,36,4.66842577464,-74.0797136427,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19734643065e-07,6.19734643065e-07,2.21333801094e-06,1.32800280657e-06,8.85335204381e-07,7.96801683936e-07,8.85335204381e-07,8.85335204381e-07,8.85335204381e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34050813194e-08,5.38303929676e-08,2.44683604398e-08,1.71278523078e-08,7.34050813194e-09,7.34050813194e-09,2.44683604398e-08,7.34050813194e-09,7.34050813194e-09,7.34050813194e-09,7.34050813194e-09,7.34050813194e-09,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12276217369e-06,8.2335892737e-07,3.74254057894e-07,2.61977840526e-07,1.12276217369e-07,1.12276217369e-07,3.74254057894e-07,1.12276217369e-07,1.12276217369e-07,1.12276217369e-07,1.12276217369e-07,1.12276217369e-07,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03727947255e-08,2.96067161321e-08,1.34575982419e-08,9.42031876926e-09,4.03727947255e-09,4.03727947255e-09,1.34575982419e-08,4.03727947255e-09,4.03727947255e-09,4.03727947255e-09,4.03727947255e-09,4.03727947255e-09,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9359991682e-08,2.88639939001e-08,1.31199972273e-08,9.1839980591e-09,3.9359991682e-09,3.9359991682e-09,1.31199972273e-08,3.9359991682e-09,3.9359991682e-09,3.9359991682e-09,3.9359991682e-09,3.9359991682e-09,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,MEOH,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32439038261e-07,2.32439038261e-07,8.3013942236e-07,4.98083653416e-07,3.32055768944e-07,2.9885019205e-07,3.32055768944e-07,3.32055768944e-07,3.32055768944e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
