ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,34,4.69066092334,-74.0999955537,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16030456225e-05,3.05089001231e-05,1.38676818742e-05,9.7073773119e-06,4.16030456225e-06,4.16030456225e-06,1.38676818742e-05,4.16030456225e-06,4.16030456225e-06,4.16030456225e-06,4.16030456225e-06,4.16030456225e-06,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61850100181e-06,6.320234068e-06,2.87283366726e-06,2.01098356708e-06,8.61850100181e-07,8.61850100181e-07,2.87283366726e-06,8.61850100181e-07,8.61850100181e-07,8.61850100181e-07,8.61850100181e-07,8.61850100181e-07,0.0,0.0,0.0
23,33,4.555199,-74.107463,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65567370135e-05,1.94749404766e-05,8.8522456712e-06,6.19657196981e-06,2.65567370135e-06,2.65567370135e-06,8.8522456712e-06,2.65567370135e-06,2.65567370135e-06,2.65567370135e-06,2.65567370135e-06,2.65567370135e-06,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83214299261e-05,9.7714292939e-06,8.55000063219e-06,6.1071433087e-06,6.1071433087e-06,2.44285732348e-05,1.22142866174e-05,9.7714292939e-06,9.7714292939e-06,8.55000063219e-06,8.55000063219e-06,0.0,0.0
35,36,4.66842577464,-74.0797136427,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23076590914e-05,2.23076590914e-05,7.96702110411e-05,4.78021266245e-05,3.18680844163e-05,2.86812759747e-05,3.18680844163e-05,3.18680844163e-05,3.18680844163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29826693381e-05,1.68539575146e-05,7.66088977935e-06,5.36262284556e-06,2.29826693381e-06,2.29826693381e-06,7.66088977935e-06,2.29826693381e-06,2.29826693381e-06,2.29826693381e-06,2.29826693381e-06,2.29826693381e-06,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04143871761e-05,2.96372172625e-05,1.3471462392e-05,9.4300236744e-06,4.04143871761e-06,4.04143871761e-06,1.3471462392e-05,4.04143871761e-06,4.04143871761e-06,4.04143871761e-06,4.04143871761e-06,4.04143871761e-06,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26404681359e-05,9.26967663303e-06,4.21348937865e-06,2.94944256505e-06,1.26404681359e-06,1.26404681359e-06,4.21348937865e-06,1.26404681359e-06,1.26404681359e-06,1.26404681359e-06,1.26404681359e-06,1.26404681359e-06,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23233658722e-05,9.03713497295e-06,4.10778862406e-06,2.87545203685e-06,1.23233658722e-06,1.23233658722e-06,4.10778862406e-06,1.23233658722e-06,1.23233658722e-06,1.23233658722e-06,1.23233658722e-06,1.23233658722e-06,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32395195471e-06,6.32395195471e-06,2.25855426955e-05,1.35513256173e-05,9.0342170782e-06,8.13079537035e-06,9.0342170782e-06,9.0342170782e-06,9.0342170782e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
