ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47934236234e-06,1.08485106571e-06,4.93114120781e-07,3.45179884546e-07,1.47934236234e-07,1.47934236234e-07,4.93114120781e-07,1.47934236234e-07,1.47934236234e-07,1.47934236234e-07,1.47934236234e-07,1.47934236234e-07,0.0,0.0,0.0
23,33,4.555199,-74.107463,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96495068238e-05,2.90763050041e-05,1.32165022746e-05,9.25155159219e-06,3.96495068238e-06,3.96495068238e-06,1.32165022746e-05,3.96495068238e-06,3.96495068238e-06,3.96495068238e-06,3.96495068238e-06,3.96495068238e-06,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.10269438841e-05,1.65477034049e-05,1.44792404793e-05,1.0342314628e-05,1.0342314628e-05,4.13692585121e-05,2.06846292561e-05,1.65477034049e-05,1.65477034049e-05,1.44792404793e-05,1.44792404793e-05,0.0,0.0
35,36,4.66842577464,-74.0797136427,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33055857321e-05,3.33055857321e-05,0.000118948520472,7.13691122832e-05,4.75794081889e-05,4.28214673697e-05,4.75794081889e-05,4.75794081889e-05,4.75794081889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94491296625e-06,2.89293617525e-06,1.31497098875e-06,9.20479692123e-07,3.94491296625e-07,3.94491296625e-07,1.31497098875e-06,3.94491296625e-07,3.94491296625e-07,3.94491296625e-07,3.94491296625e-07,3.94491296625e-07,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03391342584e-05,4.42486984563e-05,2.01130447528e-05,1.40791313269e-05,6.03391342584e-06,6.03391342584e-06,2.01130447528e-05,6.03391342584e-06,6.03391342584e-06,6.03391342584e-06,6.03391342584e-06,6.03391342584e-06,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16970213143e-06,1.59111489638e-06,7.23234043811e-07,5.06263830665e-07,2.16970213143e-07,2.16970213143e-07,7.23234043811e-07,2.16970213143e-07,2.16970213143e-07,2.16970213143e-07,2.16970213143e-07,2.16970213143e-07,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11527238642e-06,1.55119975004e-06,7.05090795473e-07,4.93563556829e-07,2.11527238642e-07,2.11527238642e-07,7.05090795473e-07,2.11527238642e-07,2.11527238642e-07,2.11527238642e-07,2.11527238642e-07,2.11527238642e-07,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24916662364e-05,1.24916662364e-05,4.46130937014e-05,2.67678562208e-05,1.78452374806e-05,1.60607137325e-05,1.78452374806e-05,1.78452374806e-05,1.78452374806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3270207913e-05,1.24107775536e-05,1.08594303594e-05,7.75673597101e-06,7.75673597101e-06,3.1026943884e-05,1.5513471942e-05,1.24107775536e-05,1.24107775536e-05,1.08594303594e-05,1.08594303594e-05,0.0,0.0
