ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58419538732e-80,1.89507661738e-80,8.61398462445e-81,6.02978923711e-81,2.58419538732e-81,2.58419538732e-81,8.61398462445e-81,2.58419538732e-81,2.58419538732e-81,2.58419538732e-81,2.58419538732e-81,2.58419538732e-81,0.0,0.0,0.0
23,33,4.555199,-74.107463,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12321169204e-78,8.2368857416e-79,3.74403897346e-79,2.62082728142e-79,1.12321169204e-79,1.12321169204e-79,3.74403897346e-79,1.12321169204e-79,1.12321169204e-79,1.12321169204e-79,1.12321169204e-79,1.12321169204e-79,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62930176698e-79,4.60229427571e-79,4.02700749127e-79,2.87643392232e-79,2.87643392232e-79,1.15057356893e-78,5.75286784464e-79,4.60229427571e-79,4.60229427571e-79,4.02700749127e-79,4.02700749127e-79,0.0,0.0
35,36,4.66842577464,-74.0797136427,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43497821308e-79,9.43497821308e-79,3.3696350761e-78,2.02178104566e-78,1.34785403044e-78,1.2130686274e-78,1.34785403044e-78,1.34785403044e-78,1.34785403044e-78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89118769954e-80,5.05353764633e-80,2.29706256651e-80,1.60794379656e-80,6.89118769954e-81,6.89118769954e-81,2.29706256651e-80,6.89118769954e-81,6.89118769954e-81,6.89118769954e-81,6.89118769954e-81,6.89118769954e-81,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70931813571e-78,1.25349996619e-78,5.69772711904e-79,3.98840898333e-79,1.70931813571e-79,1.70931813571e-79,5.69772711904e-79,1.70931813571e-79,1.70931813571e-79,1.70931813571e-79,1.70931813571e-79,1.70931813571e-79,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79015323474e-80,2.77944570548e-80,1.26338441158e-80,8.84369088109e-81,3.79015323474e-81,3.79015323474e-81,1.26338441158e-80,3.79015323474e-81,3.79015323474e-81,3.79015323474e-81,3.79015323474e-81,3.79015323474e-81,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69507240723e-80,2.7097197653e-80,1.23169080241e-80,8.62183561686e-81,3.69507240723e-81,3.69507240723e-81,1.23169080241e-80,3.69507240723e-81,3.69507240723e-81,3.69507240723e-81,3.69507240723e-81,3.69507240723e-81,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40445874359e-79,3.40445874359e-79,1.21587812271e-78,7.29526873624e-79,4.86351249082e-79,4.37716124174e-79,4.86351249082e-79,4.86351249082e-79,4.86351249082e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47197632523e-79,3.45172070679e-79,3.02025561844e-79,2.15732544174e-79,2.15732544174e-79,8.62930176698e-79,4.31465088348e-79,3.45172070679e-79,3.45172070679e-79,3.02025561844e-79,3.02025561844e-79,0.0,0.0
28,31,4.60476388889,-74.1292583333,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29522036448e-79,6.08316160063e-79,2.76507345483e-79,1.93555141838e-79,8.29522036448e-80,8.29522036448e-80,2.76507345483e-79,8.29522036448e-80,8.29522036448e-80,8.29522036448e-80,8.29522036448e-80,8.29522036448e-80,0.0,0.0,0.0
46,39,4.765185,-74.050677,PCA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09876417585e-80,3.09876417585e-80,1.10670149138e-79,6.64020894825e-80,4.42680596551e-80,3.98412536895e-80,4.42680596551e-80,4.42680596551e-80,4.42680596551e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
