ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,34,4.69066092334,-74.0999955537,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56790468161e-149,1.14979676652e-149,5.2263489387e-150,3.65844425709e-150,1.56790468161e-150,1.56790468161e-150,5.2263489387e-150,1.56790468161e-150,1.56790468161e-150,1.56790468161e-150,1.56790468161e-150,1.56790468161e-150,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30267675054e-151,1.68862961707e-151,7.67558916851e-152,5.37291241795e-152,2.30267675054e-152,2.30267675054e-152,7.67558916851e-152,2.30267675054e-152,2.30267675054e-152,2.30267675054e-152,2.30267675054e-152,2.30267675054e-152,0.0,0.0,0.0
23,33,4.555199,-74.107463,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00085057882e-149,7.33957091135e-150,3.33616859607e-150,2.33531801725e-150,1.00085057882e-150,1.00085057882e-150,3.33616859607e-150,1.00085057882e-150,1.00085057882e-150,1.00085057882e-150,1.00085057882e-150,1.00085057882e-150,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68923768292e-150,4.10092676422e-150,3.5883109187e-150,2.56307922763e-150,2.56307922763e-150,1.02523169106e-149,5.12615845527e-150,4.10092676422e-150,4.10092676422e-150,3.5883109187e-150,3.5883109187e-150,0.0,0.0
35,36,4.66842577464,-74.0797136427,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.40714486207e-150,8.40714486207e-150,3.00255173645e-149,1.80153104187e-149,1.20102069458e-149,1.08091862512e-149,1.20102069458e-149,1.20102069458e-149,1.20102069458e-149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14047133479e-151,4.50301231218e-151,2.04682377826e-151,1.43277664478e-151,6.14047133479e-152,6.14047133479e-152,2.04682377826e-151,6.14047133479e-152,6.14047133479e-152,6.14047133479e-152,6.14047133479e-152,6.14047133479e-152,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52310740499e-149,1.11694543033e-149,5.07702468332e-150,3.55391727832e-150,1.52310740499e-150,1.52310740499e-150,5.07702468332e-150,1.52310740499e-150,1.52310740499e-150,1.52310740499e-150,1.52310740499e-150,1.52310740499e-150,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37725923413e-151,2.4766567717e-151,1.12575307805e-151,7.88027154633e-152,3.37725923413e-152,3.37725923413e-152,1.12575307805e-151,3.37725923413e-152,3.37725923413e-152,3.37725923413e-152,3.37725923413e-152,3.37725923413e-152,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29253637919e-151,2.41452667807e-151,1.0975121264e-151,7.68258488477e-152,3.29253637919e-152,3.29253637919e-152,1.0975121264e-151,3.29253637919e-152,3.29253637919e-152,3.29253637919e-152,3.29253637919e-152,3.29253637919e-152,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PMFINE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03358176224e-150,3.03358176224e-150,1.08342205794e-149,6.50053234763e-150,4.33368823175e-150,3.90031940857e-150,4.33368823175e-150,4.33368823175e-150,4.33368823175e-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
