ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89240624632e-147,2.12109791398e-147,9.64135415445e-148,6.7489479081e-148,2.89240624632e-148,2.89240624632e-148,9.64135415445e-148,2.89240624632e-148,2.89240624632e-148,2.89240624632e-148,2.89240624632e-148,2.89240624632e-148,0.0,0.0,0.0
23,33,4.555199,-74.107463,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2571744884e-145,9.2192795816e-146,4.19058162801e-146,2.9334071396e-146,1.2571744884e-146,1.2571744884e-146,4.19058162801e-146,1.2571744884e-146,1.2571744884e-146,1.2571744884e-146,1.2571744884e-146,1.2571744884e-146,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65849813626e-146,5.151199006e-146,4.50729913026e-146,3.21949937874e-146,3.21949937874e-146,1.2877997515e-145,6.43899875749e-146,5.151199006e-146,5.151199006e-146,4.50729913026e-146,4.50729913026e-146,0.0,0.0
35,36,4.66842577464,-74.0797136427,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05602657025e-145,1.05602657025e-145,3.77152346519e-145,2.26291407912e-145,1.50860938608e-145,1.35774844747e-145,1.50860938608e-145,1.50860938608e-145,1.50860938608e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71308332353e-147,5.65626110392e-147,2.57102777451e-147,1.79971944216e-147,7.71308332353e-148,7.71308332353e-148,2.57102777451e-147,7.71308332353e-148,7.71308332353e-148,7.71308332353e-148,7.71308332353e-148,7.71308332353e-148,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91318445847e-145,1.40300193621e-145,6.37728152824e-146,4.46409706977e-146,1.91318445847e-146,1.91318445847e-146,6.37728152824e-146,1.91318445847e-146,1.91318445847e-146,1.91318445847e-146,1.91318445847e-146,1.91318445847e-146,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24219582794e-147,3.11094360716e-147,1.41406527598e-147,9.89845693188e-148,4.24219582794e-148,4.24219582794e-148,1.41406527598e-147,4.24219582794e-148,4.24219582794e-148,4.24219582794e-148,4.24219582794e-148,4.24219582794e-148,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13577493548e-147,3.03290161935e-147,1.37859164516e-147,9.65014151611e-148,4.13577493548e-148,4.13577493548e-148,1.37859164516e-147,4.13577493548e-148,4.13577493548e-148,4.13577493548e-148,4.13577493548e-148,4.13577493548e-148,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81050046897e-146,3.81050046897e-146,1.36089302463e-145,8.16535814776e-146,5.4435720985e-146,4.89921488865e-146,5.4435720985e-146,5.4435720985e-146,5.4435720985e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24387360219e-146,3.8633992545e-146,3.38047434768e-146,2.41462453406e-146,2.41462453406e-146,9.65849813626e-146,4.82924906812e-146,3.8633992545e-146,3.8633992545e-146,3.38047434768e-146,3.38047434768e-146,0.0,0.0
28,31,4.60476388889,-74.1292583333,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28457163669e-146,6.80868586692e-146,3.09485721224e-146,2.16640004856e-146,9.28457163669e-147,9.28457163669e-147,3.09485721224e-146,9.28457163669e-147,9.28457163669e-147,9.28457163669e-147,9.28457163669e-147,9.28457163669e-147,0.0,0.0,0.0
46,39,4.765185,-74.050677,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46834643466e-147,3.46834643466e-147,1.23869515524e-146,7.43217093142e-147,4.95478062096e-147,4.45930255886e-147,4.95478062096e-147,4.95478062096e-147,4.95478062096e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9389091792e-146,3.9389091792e-146,1.40675327829e-145,8.44051966973e-146,5.62701311315e-146,5.06431180184e-146,5.62701311315e-146,5.62701311315e-146,5.62701311315e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.57897,-74.100491,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3654664268e-147,8.3654664268e-147,2.98766658101e-146,1.7925999486e-146,1.1950666324e-146,1.07555996916e-146,1.1950666324e-146,1.1950666324e-146,1.1950666324e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,29,4.56237230738,-74.1398613854,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89295822581e-147,5.05483603225e-147,2.29765274193e-147,1.60835691935e-147,6.89295822581e-148,6.89295822581e-148,2.29765274193e-147,6.89295822581e-148,6.89295822581e-148,6.89295822581e-148,6.89295822581e-148,6.89295822581e-148,0.0,0.0,0.0
30,28,4.61711111111,-74.153775,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11012991743e-145,1.54742860612e-145,7.03376639144e-146,4.92363647401e-146,2.11012991743e-146,2.11012991743e-146,7.03376639144e-146,2.11012991743e-146,2.11012991743e-146,2.11012991743e-146,2.11012991743e-146,2.11012991743e-146,0.0,0.0,0.0
16,33,4.497642,-74.104481,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56958122468e-147,3.56958122468e-147,1.27485043739e-146,7.64910262435e-147,5.09940174956e-147,4.5894615746e-147,5.09940174956e-147,5.09940174956e-147,5.09940174956e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,37,4.61116932885,-74.0758969555,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25080524526e-145,1.65059051319e-145,7.50268415085e-146,5.2518789056e-146,2.25080524526e-146,2.25080524526e-146,7.50268415085e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,0.0,0.0,0.0
19,32,4.52370994142,-74.1191972402,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48643418629e-146,1.09005173661e-146,4.95478062096e-147,3.46834643466e-147,1.48643418629e-147,1.48643418629e-147,4.95478062096e-147,1.48643418629e-147,1.48643418629e-147,1.48643418629e-147,1.48643418629e-147,1.48643418629e-147,0.0,0.0,0.0
38,41,4.69470667421,-74.0327357742,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48643418629e-146,1.09005173661e-146,4.95478062096e-147,3.46834643466e-147,1.48643418629e-147,1.48643418629e-147,4.95478062096e-147,1.48643418629e-147,1.48643418629e-147,1.48643418629e-147,1.48643418629e-147,1.48643418629e-147,0.0,0.0,0.0
31,38,4.628453,-74.067191,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46834643466e-147,3.46834643466e-147,1.23869515524e-146,7.43217093142e-147,4.95478062096e-147,4.45930255886e-147,4.95478062096e-147,4.95478062096e-147,4.95478062096e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,33,4.589264,-74.108831,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28934634452e-145,1.67885398598e-145,7.63115448172e-146,5.34180813722e-146,2.28934634452e-146,2.28934634452e-146,7.63115448172e-146,2.28934634452e-146,2.28934634452e-146,2.28934634452e-146,2.28934634452e-146,2.28934634452e-146,0.0,0.0,0.0
30,36,4.62286666667,-74.0797916667,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34310892981e-146,2.45161321519e-146,1.11436964327e-146,7.80058750288e-147,3.34310892981e-147,3.34310892981e-147,1.11436964327e-146,3.34310892981e-147,3.34310892981e-147,3.34310892981e-147,3.34310892981e-147,3.34310892981e-147,0.0,0.0,0.0
31,28,4.62567777778,-74.1520555556,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25080524526e-145,1.65059051319e-145,7.50268415085e-146,5.2518789056e-146,2.25080524526e-146,2.25080524526e-146,7.50268415085e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,0.0,0.0,0.0
24,36,4.57139776271,-74.0798491427,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01286236037e-145,7.42765730935e-146,3.37620786789e-146,2.36334550752e-146,1.01286236037e-146,1.01286236037e-146,3.37620786789e-146,1.01286236037e-146,1.01286236037e-146,1.01286236037e-146,1.01286236037e-146,1.01286236037e-146,0.0,0.0,0.0
30,31,4.617334,-74.121506,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68810393394e-144,1.23794288489e-144,5.62701311315e-145,3.9389091792e-145,1.68810393394e-145,1.68810393394e-145,5.62701311315e-145,1.68810393394e-145,1.68810393394e-145,1.68810393394e-145,1.68810393394e-145,1.68810393394e-145,0.0,0.0,0.0
29,36,4.61099789725,-74.08308791,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25080524526e-145,1.65059051319e-145,7.50268415085e-146,5.2518789056e-146,2.25080524526e-146,2.25080524526e-146,7.50268415085e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,2.25080524526e-146,0.0,0.0,0.0
26,34,4.58492442784,-74.1009061919,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24387360219e-146,3.8633992545e-146,3.38047434768e-146,2.41462453406e-146,2.41462453406e-146,9.65849813626e-146,4.82924906812e-146,3.8633992545e-146,3.8633992545e-146,3.38047434768e-146,3.38047434768e-146,0.0,0.0
35,36,4.66860471322,-74.0804713063,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82428577037e-145,1.33780956494e-145,6.08095256789e-146,4.25666679754e-146,1.82428577037e-146,1.82428577037e-146,6.08095256789e-146,1.82428577037e-146,1.82428577037e-146,1.82428577037e-146,1.82428577037e-146,1.82428577037e-146,0.0,0.0,0.0
34,39,4.653705,-74.05428,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84669363164e-146,1.84669363164e-146,6.5953343987e-146,3.95720063923e-146,2.63813375948e-146,2.37432038353e-146,2.63813375948e-146,2.63813375948e-146,2.63813375948e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,23,4.638885,-74.197199,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16640004856e-146,2.16640004856e-146,7.73714303057e-146,4.64228581833e-146,3.09485721224e-146,2.78537149099e-146,3.09485721224e-146,3.09485721224e-146,3.09485721224e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,24,4.617807,-74.189234,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255775831e-146,9.20902276066e-147,4.18591943666e-147,2.93014360567e-147,1.255775831e-147,1.255775831e-147,4.18591943666e-147,1.255775831e-147,1.255775831e-147,1.255775831e-147,1.255775831e-147,1.255775831e-147,0.0,0.0,0.0
32,29,4.63967614322,-74.1411723498,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.564848632e-146,6.564848632e-146,2.34458879714e-145,1.40675327829e-145,9.37835518856e-146,8.44051966971e-146,9.37835518856e-146,9.37835518856e-146,9.37835518856e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,37,4.60091616268,-74.0716379179,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72844497649e-145,1.26752631609e-145,5.76148325496e-146,4.03303827847e-146,1.72844497649e-146,1.72844497649e-146,5.76148325496e-146,1.72844497649e-146,1.72844497649e-146,1.72844497649e-146,1.72844497649e-146,1.72844497649e-146,0.0,0.0,0.0
43,39,4.734187,-74.050146,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01559336195e-147,4.01559336195e-147,1.43414048641e-146,8.60484291846e-147,5.73656194565e-147,5.16290575107e-147,5.73656194565e-147,5.73656194565e-147,5.73656194565e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,39,4.654911,-74.054951,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6632903259e-146,1.21974623899e-146,5.54430108631e-147,3.88101076043e-147,1.6632903259e-147,1.6632903259e-147,5.54430108631e-147,1.6632903259e-147,1.6632903259e-147,1.6632903259e-147,1.6632903259e-147,1.6632903259e-147,0.0,0.0,0.0
37,30,4.68395,-74.131816,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55634590682e-147,1.874653665e-147,8.52115302273e-148,5.96480711589e-148,2.55634590682e-148,2.55634590682e-148,8.52115302273e-148,2.55634590682e-148,2.55634590682e-148,2.55634590682e-148,2.55634590682e-148,2.55634590682e-148,0.0,0.0,0.0
28,35,4.60752974533,-74.0927084258,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37620786789e-145,2.47588576978e-145,1.12540262263e-145,7.8778183584e-146,3.37620786789e-146,3.37620786789e-146,1.12540262263e-145,3.37620786789e-146,3.37620786789e-146,3.37620786789e-146,3.37620786789e-146,3.37620786789e-146,0.0,0.0,0.0
45,34,4.755286,-74.102669,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255775831e-146,9.20902276066e-147,4.18591943666e-147,2.93014360567e-147,1.255775831e-147,1.255775831e-147,4.18591943666e-147,1.255775831e-147,1.255775831e-147,1.255775831e-147,1.255775831e-147,1.255775831e-147,0.0,0.0,0.0
42,35,4.72480427754,-74.0902088681,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12540262263e-145,8.25295256595e-146,3.75134207544e-146,2.6259394528e-146,1.12540262263e-146,1.12540262263e-146,3.75134207544e-146,1.12540262263e-146,1.12540262263e-146,1.12540262263e-146,1.12540262263e-146,1.12540262263e-146,0.0,0.0,0.0
39,40,4.69790584595,-74.0467099883,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46834643466e-147,3.46834643466e-147,1.23869515524e-146,7.43217093142e-147,4.95478062096e-147,4.45930255886e-147,4.95478062096e-147,4.95478062096e-147,4.95478062096e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.578205,-74.101181,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5953940424e-146,4.5953940424e-146,1.641212158e-145,9.84727294803e-146,6.564848632e-146,5.9083637688e-146,6.564848632e-146,6.564848632e-146,6.564848632e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,34,4.59403055556,-74.09855,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51288971584e-146,4.51288971584e-146,1.61174632708e-145,9.67047796251e-146,6.44698530833e-146,5.8022867775e-146,6.44698530833e-146,6.44698530833e-146,6.44698530833e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,37,4.71401666667,-74.0725833333,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26607795046e-145,9.28457163669e-146,4.22025983485e-146,2.95418188441e-146,1.26607795046e-146,1.26607795046e-146,4.22025983485e-146,1.26607795046e-146,1.26607795046e-146,1.26607795046e-146,1.26607795046e-146,1.26607795046e-146,0.0,0.0,0.0
33,39,4.651411,-74.054558,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57237769067e-146,1.15307697316e-146,5.2412589689e-147,3.66888127825e-147,1.57237769067e-147,1.57237769067e-147,5.2412589689e-147,1.57237769067e-147,1.57237769067e-147,1.57237769067e-147,1.57237769067e-147,1.57237769067e-147,0.0,0.0,0.0
29,37,4.60878811978,-74.0724618509,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6259394528e-146,2.6259394528e-146,9.37835518859e-146,5.62701311315e-146,3.75134207544e-146,3.37620786789e-146,3.75134207544e-146,3.75134207544e-146,3.75134207544e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,36,4.60296557439,-74.0849606692,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9389091792e-146,3.9389091792e-146,1.40675327829e-145,8.44051966973e-146,5.62701311315e-146,5.06431180184e-146,5.62701311315e-146,5.62701311315e-146,5.62701311315e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,40,4.75823,-74.047621,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85654166178e-147,2.82813055197e-147,1.28551388726e-147,8.9985972108e-148,3.85654166178e-148,3.85654166178e-148,1.28551388726e-147,3.85654166178e-148,3.85654166178e-148,3.85654166178e-148,3.85654166178e-148,3.85654166178e-148,0.0,0.0,0.0
36,38,4.67688333333,-74.0607361111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34978958162e-147,1.34978958162e-147,4.82067707721e-147,2.89240624632e-147,1.92827083089e-147,1.7354437478e-147,1.92827083089e-147,1.92827083089e-147,1.92827083089e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,4.66851024812,-74.0813219206,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17128184113e-147,2.17128184113e-147,7.75457800403e-147,4.65274680243e-147,3.10183120161e-147,2.79164808144e-147,3.10183120161e-147,3.10183120161e-147,3.10183120161e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82440381458e-148,3.82440381458e-148,1.36585850521e-147,8.19515103126e-148,5.46343402083e-148,4.91709061876e-148,5.46343402083e-148,5.46343402083e-148,5.46343402083e-148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,37,4.60717542086,-74.0733320163,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9389091792e-146,3.9389091792e-146,1.40675327829e-145,8.44051966973e-146,5.62701311315e-146,5.06431180184e-146,5.62701311315e-146,5.62701311315e-146,5.62701311315e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,39,4.713477,-74.054032,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46409706977e-146,4.46409706977e-146,1.59432038206e-145,9.56592229235e-146,6.37728152824e-146,5.73955337541e-146,6.37728152824e-146,6.37728152824e-146,6.37728152824e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,4.66602426573,-74.0777668622,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02295836285e-145,2.9501694661e-145,1.34098612095e-145,9.38690284665e-146,4.02295836285e-146,4.02295836285e-146,1.34098612095e-145,4.02295836285e-146,4.02295836285e-146,4.02295836285e-146,4.02295836285e-146,4.02295836285e-146,0.0,0.0,0.0
43,33,4.73459166667,-74.11,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60835691935e-147,1.60835691935e-147,5.74413185482e-147,3.44647911289e-147,2.29765274193e-147,2.06788746774e-147,2.29765274193e-147,2.29765274193e-147,2.29765274193e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,39,4.675125,-74.0563694444,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63412391279e-147,5.63412391279e-147,2.01218711171e-146,1.20731226703e-146,8.04874844686e-147,7.24387360216e-147,8.04874844686e-147,8.04874844686e-147,8.04874844686e-147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83823107567e-146,4.2813694555e-146,1.94607702522e-146,1.36225391766e-146,5.83823107567e-147,5.83823107567e-147,1.94607702522e-146,5.83823107567e-147,5.83823107567e-147,5.83823107567e-147,5.83823107567e-147,5.83823107567e-147,0.0,0.0,0.0
26,36,4.589513,-74.081031,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14293622099e-145,2.30481989539e-145,1.047645407e-145,7.33351784899e-146,3.14293622099e-146,3.14293622099e-146,1.047645407e-145,3.14293622099e-146,3.14293622099e-146,3.14293622099e-146,3.14293622099e-146,3.14293622099e-146,0.0,0.0,0.0
24,35,4.56934166667,-74.0874833333,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22025983485e-145,3.09485721224e-145,1.40675327829e-145,9.84727294803e-146,4.22025983485e-146,4.22025983485e-146,1.40675327829e-145,4.22025983485e-146,4.22025983485e-146,4.22025983485e-146,4.22025983485e-146,4.22025983485e-146,0.0,0.0,0.0
37,34,4.68663333333,-74.0969972222,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.10708332569e-146,2.27852777217e-146,1.0356944419e-146,7.24986109329e-147,3.10708332569e-147,3.10708332569e-147,1.0356944419e-146,3.10708332569e-147,3.10708332569e-147,3.10708332569e-147,3.10708332569e-147,3.10708332569e-147,0.0,0.0,0.0
33,39,4.65127639268,-74.0556263487,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6506638641e-146,5.6506638641e-146,2.01809423718e-145,1.21085654231e-145,8.07237694873e-146,7.26513925385e-146,8.07237694873e-146,8.07237694873e-146,8.07237694873e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,34,4.67229722222,-74.0997361111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26622279897e-146,4.26622279897e-146,1.52365099963e-145,9.1419059978e-146,6.09460399854e-146,5.48514359869e-146,6.09460399854e-146,6.09460399854e-146,6.09460399854e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,4.613062,-74.137682,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29149923823e-148,5.34709944138e-148,2.43049974608e-148,1.70134982226e-148,7.29149923823e-149,7.29149923823e-149,2.43049974608e-148,7.29149923823e-149,7.29149923823e-149,7.29149923823e-149,7.29149923823e-149,7.29149923823e-149,0.0,0.0,0.0
34,39,4.65638305577,-74.0532445245,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84669363164e-146,1.84669363164e-146,6.5953343987e-146,3.95720063923e-146,2.63813375948e-146,2.37432038353e-146,2.63813375948e-146,2.63813375948e-146,2.63813375948e-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,38,4.65546708484,-74.0590924882,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26137904894e-145,2.39167796921e-145,1.08712634964e-145,7.60988444751e-146,3.26137904894e-146,3.26137904894e-146,1.08712634964e-145,3.26137904894e-146,3.26137904894e-146,3.26137904894e-146,3.26137904894e-146,3.26137904894e-146,0.0,0.0,0.0
