ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41101430844e-50,1.03474382619e-50,4.70338102815e-51,3.2923667197e-51,1.41101430844e-51,1.41101430844e-51,4.70338102815e-51,1.41101430844e-51,1.41101430844e-51,1.41101430844e-51,1.41101430844e-51,1.41101430844e-51,0.0,0.0,0.0
23,33,4.555199,-74.107463,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1329254616e-49,4.49747867184e-49,2.0443084872e-49,1.43101594104e-49,6.1329254616e-50,6.1329254616e-50,2.0443084872e-49,6.1329254616e-50,6.1329254616e-50,6.1329254616e-50,6.1329254616e-50,6.1329254616e-50,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71174444655e-49,2.51293037149e-49,2.19881407506e-49,1.57058148218e-49,1.57058148218e-49,6.28232592874e-49,3.14116296436e-49,2.51293037149e-49,2.51293037149e-49,2.19881407506e-49,2.19881407506e-49,0.0,0.0
35,36,4.66842577464,-74.0797136427,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15165738773e-49,5.15165738773e-49,1.83987763847e-48,1.10392658309e-48,7.35951055391e-49,6.62355949851e-49,7.35951055391e-49,7.35951055391e-49,7.35951055391e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76270482251e-50,2.75931686984e-50,1.25423494083e-50,8.77964458585e-51,3.76270482251e-51,3.76270482251e-51,1.25423494083e-50,3.76270482251e-51,3.76270482251e-51,3.76270482251e-51,3.76270482251e-51,3.76270482251e-51,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33316559186e-49,6.84432143403e-49,3.11105519729e-49,2.1777386381e-49,9.33316559186e-50,9.33316559186e-50,3.11105519729e-49,9.33316559186e-50,9.33316559186e-50,9.33316559186e-50,9.33316559186e-50,9.33316559186e-50,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06948765237e-50,1.51762427841e-50,6.8982921746e-51,4.82880452223e-51,2.06948765237e-51,2.06948765237e-51,6.8982921746e-51,2.06948765237e-51,2.06948765237e-51,2.06948765237e-51,2.06948765237e-51,2.06948765237e-51,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01757191538e-50,1.47955273794e-50,6.72523971792e-51,4.70766780254e-51,2.01757191538e-51,2.01757191538e-51,6.72523971792e-51,2.01757191538e-51,2.01757191538e-51,2.01757191538e-51,2.01757191538e-51,2.01757191538e-51,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85889194883e-49,1.85889194883e-49,6.63889981722e-49,3.98333989033e-49,2.65555992688e-49,2.39000393419e-49,2.65555992688e-49,2.65555992688e-49,2.65555992688e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,PMG,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53380833491e-49,1.88469777862e-49,1.64911055629e-49,1.17793611164e-49,1.17793611164e-49,4.71174444655e-49,2.35587222327e-49,1.88469777862e-49,1.88469777862e-49,1.64911055629e-49,1.64911055629e-49,0.0,0.0
