ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97219999468e-163,1.4462799961e-163,6.57399998229e-164,4.60179998759e-164,1.97219999468e-164,1.97219999468e-164,6.57399998229e-164,1.97219999468e-164,1.97219999468e-164,1.97219999468e-164,1.97219999468e-164,1.97219999468e-164,0.0,0.0,0.0
23,33,4.555199,-74.107463,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5720998649e-162,6.28620656759e-162,2.85736662164e-162,2.00015663514e-162,8.5720998649e-163,8.5720998649e-163,2.85736662164e-162,8.5720998649e-163,8.5720998649e-163,8.5720998649e-163,8.5720998649e-163,8.5720998649e-163,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58568968213e-162,3.51236783046e-162,3.07332185167e-162,2.19522989404e-162,2.19522989404e-162,8.78091957617e-162,4.39045978808e-162,3.51236783046e-162,3.51236783046e-162,3.07332185167e-162,3.07332185167e-162,0.0,0.0
35,36,4.66842577464,-74.0797136427,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2005638865e-162,7.2005638865e-162,2.57162995946e-161,1.54297797568e-161,1.02865198379e-161,9.25786785407e-162,1.02865198379e-161,1.02865198379e-161,1.02865198379e-161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25919998581e-163,3.85674665626e-163,1.75306666194e-163,1.22714666336e-163,5.25919998581e-164,5.25919998581e-164,1.75306666194e-163,5.25919998581e-164,5.25919998581e-164,5.25919998581e-164,5.25919998581e-164,5.25919998581e-164,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30451328669e-161,9.56643076902e-162,4.34837762228e-162,3.0438643356e-162,1.30451328669e-162,1.30451328669e-162,4.34837762228e-162,1.30451328669e-162,1.30451328669e-162,1.30451328669e-162,1.30451328669e-162,1.30451328669e-162,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89255999219e-163,2.12121066094e-163,9.64186664067e-164,6.74930664847e-164,2.89255999219e-164,2.89255999219e-164,9.64186664067e-164,2.89255999219e-164,2.89255999219e-164,2.89255999219e-164,2.89255999219e-164,2.89255999219e-164,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81999643588e-163,2.06799738631e-163,9.39998811959e-164,6.57999168371e-164,2.81999643588e-164,2.81999643588e-164,9.39998811959e-164,2.81999643588e-164,2.81999643588e-164,2.81999643588e-164,2.81999643588e-164,2.81999643588e-164,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59820660192e-162,2.59820660192e-162,9.27930929253e-162,5.56758557552e-162,3.71172371701e-162,3.34055134531e-162,3.71172371701e-162,3.71172371701e-162,3.71172371701e-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93926726159e-162,2.63427587285e-162,2.30499138874e-162,1.64642242053e-162,1.64642242053e-162,6.58568968213e-162,3.29284484106e-162,2.63427587285e-162,2.63427587285e-162,2.30499138874e-162,2.30499138874e-162,0.0,0.0
28,31,4.60476388889,-74.1292583333,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3307262442e-162,4.64253257909e-162,2.11024208141e-162,1.47716945698e-162,6.3307262442e-163,6.3307262442e-163,2.11024208141e-162,6.3307262442e-163,6.3307262442e-163,6.3307262442e-163,6.3307262442e-163,6.3307262442e-163,0.0,0.0,0.0
46,39,4.765185,-74.050677,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36490735998e-163,2.36490735998e-163,8.44609771423e-163,5.06765862853e-163,3.3784390857e-163,3.04059517712e-163,3.3784390857e-163,3.3784390857e-163,3.3784390857e-163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68576264905e-162,2.68576264905e-162,9.59200946092e-162,5.75520567655e-162,3.83680378436e-162,3.45312340593e-162,3.83680378436e-162,3.83680378436e-162,3.83680378436e-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.57897,-74.100491,PNA,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.70403029084e-163,5.70403029084e-163,2.0371536753e-162,1.22229220518e-162,8.14861470119e-163,7.33375323107e-163,8.14861470119e-163,8.14861470119e-163,8.14861470119e-163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
