ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58005753191e-134,6.29204219009e-134,2.86001917732e-134,2.00201342412e-134,8.58005753191e-135,8.58005753191e-135,2.86001917732e-134,8.58005753191e-135,8.58005753191e-135,8.58005753191e-135,8.58005753191e-135,8.58005753191e-135,0.0,0.0,0.0
23,33,4.555199,-74.107463,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72929267866e-132,2.73481463102e-132,1.24309755956e-132,8.70168291689e-133,3.72929267866e-133,3.72929267866e-133,1.24309755956e-132,3.72929267866e-133,3.72929267866e-133,3.72929267866e-133,3.72929267866e-133,3.72929267866e-133,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86510478209e-132,1.52805588378e-132,1.33704889831e-132,9.55034927362e-133,9.55034927362e-133,3.82013970946e-132,1.91006985472e-132,1.52805588378e-132,1.52805588378e-132,1.33704889831e-132,1.33704889831e-132,0.0,0.0
35,36,4.66842577464,-74.0797136427,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13260585007e-132,3.13260585007e-132,1.1187878036e-131,6.71272682158e-132,4.47515121439e-132,4.02763609295e-132,4.47515121439e-132,4.47515121439e-132,4.47515121439e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28801534185e-133,1.67787791735e-133,7.62671780614e-134,5.33870246431e-134,2.28801534185e-134,2.28801534185e-134,7.62671780614e-134,2.28801534185e-134,2.28801534185e-134,2.28801534185e-134,2.28801534185e-134,2.28801534185e-134,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67528601618e-132,4.16187641186e-132,1.89176200539e-132,1.32423340378e-132,5.67528601618e-133,5.67528601618e-133,1.89176200539e-132,5.67528601618e-133,5.67528601618e-133,5.67528601618e-133,5.67528601618e-133,5.67528601618e-133,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25840843801e-133,9.22832854544e-134,4.19469479339e-134,2.93628635537e-134,1.25840843801e-134,1.25840843801e-134,4.19469479339e-134,1.25840843801e-134,1.25840843801e-134,1.25840843801e-134,1.25840843801e-134,1.25840843801e-134,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22683965749e-133,8.99682415488e-134,4.08946552495e-134,2.86262586746e-134,1.22683965749e-134,1.22683965749e-134,4.08946552495e-134,1.22683965749e-134,1.22683965749e-134,1.22683965749e-134,1.22683965749e-134,1.22683965749e-134,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13034997386e-132,1.13034997386e-132,4.03696419233e-132,2.4221785154e-132,1.61478567693e-132,1.45330710924e-132,1.61478567693e-132,1.61478567693e-132,1.61478567693e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14882858657e-132,1.14604191284e-132,1.00278667373e-132,7.16276195523e-133,7.16276195523e-133,2.86510478209e-132,1.43255239104e-132,1.14604191284e-132,1.14604191284e-132,1.00278667373e-132,1.00278667373e-132,0.0,0.0
28,31,4.60476388889,-74.1292583333,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75418291961e-132,2.01973414105e-132,9.18060973207e-133,6.42642681243e-133,2.75418291961e-133,2.75418291961e-133,9.18060973207e-133,2.75418291961e-133,2.75418291961e-133,2.75418291961e-133,2.75418291961e-133,2.75418291961e-133,0.0,0.0,0.0
46,39,4.765185,-74.050677,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02885312144e-133,1.02885312144e-133,3.67447543372e-133,2.20468526023e-133,1.46979017349e-133,1.32281115614e-133,1.46979017349e-133,1.46979017349e-133,1.46979017349e-133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,PNO3,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16844123862e-132,1.16844123862e-132,4.17300442366e-132,2.5038026542e-132,1.66920176946e-132,1.50228159252e-132,1.66920176946e-132,1.66920176946e-132,1.66920176946e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
