ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
33,39,4.6517,-74.0545611111,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71045370767e-197,3.45433271897e-197,1.5701512359e-197,1.09910586512e-197,4.71045370767e-198,4.71045370767e-198,1.5701512359e-197,4.71045370767e-198,4.71045370767e-198,4.71045370767e-198,4.71045370767e-198,4.71045370767e-198,0.0,0.0,0.0
23,33,4.555199,-74.107463,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04738260319e-195,1.501413909e-195,6.8246086773e-196,4.77722607411e-196,2.04738260319e-196,2.04738260319e-196,6.8246086773e-196,2.04738260319e-196,2.04738260319e-196,2.04738260319e-196,2.04738260319e-196,2.04738260319e-196,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57294323418e-195,8.38903058226e-196,7.34040175951e-196,5.24314411391e-196,5.24314411391e-196,2.09725764557e-195,1.04862882278e-195,8.38903058226e-196,8.38903058226e-196,7.34040175951e-196,7.34040175951e-196,0.0,0.0
35,36,4.66842577464,-74.0797136427,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71980138667e-195,1.71980138667e-195,6.14214780954e-195,3.68528868573e-195,2.45685912382e-195,2.21117321144e-195,2.45685912382e-195,2.45685912382e-195,2.45685912382e-195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25612098871e-196,9.21155391722e-197,4.18706996237e-197,2.93094897366e-197,1.25612098871e-197,1.25612098871e-197,4.18706996237e-197,1.25612098871e-197,1.25612098871e-197,1.25612098871e-197,1.25612098871e-197,1.25612098871e-197,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11573342691e-195,2.28487117973e-195,1.03857780897e-195,7.27004466279e-196,3.11573342691e-196,3.11573342691e-196,1.03857780897e-195,3.11573342691e-196,3.11573342691e-196,3.11573342691e-196,3.11573342691e-196,3.11573342691e-196,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90866543791e-197,5.06635465447e-197,2.30288847931e-197,1.61202193552e-197,6.90866543791e-198,6.90866543791e-198,2.30288847931e-197,6.90866543791e-198,6.90866543791e-198,6.90866543791e-198,6.90866543791e-198,6.90866543791e-198,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73535275471e-197,4.93925868678e-197,2.2451175849e-197,1.57158230943e-197,6.73535275471e-198,6.73535275471e-198,2.2451175849e-197,6.73535275471e-198,6.73535275471e-198,6.73535275471e-198,6.73535275471e-198,6.73535275471e-198,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20562415288e-196,6.20562415288e-196,2.21629434031e-195,1.32977660418e-195,8.86517736122e-196,7.97865962509e-196,8.86517736122e-196,8.86517736122e-196,8.86517736122e-196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,POC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17970742563e-195,6.29177293671e-196,5.50530131961e-196,3.93235808544e-196,3.93235808544e-196,1.57294323418e-195,7.86471617086e-196,6.29177293671e-196,6.29177293671e-196,5.50530131961e-196,5.50530131961e-196,0.0,0.0
