FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3,Habil,C2P,36,28,4.603096,-74.080956,PM10,0.28174071,0.3169583,0.07043519,1.30305077,1.30305077,2.21870811,2.39479604,3.02871269,3.0639302,3.09914785,3.48654137,4.68393934,3.13436545,2.46523124,8.02961036,8.83961485,6.1982957,4.57828661,4.36698106,1.54957393,1.72566185,1.30305077,0.598699,0.42261109
3,Habil,B,36,28,4.603096,-74.080956,PM10,1.37773986,0.0,0.0,0.63376034,10.14016551,48.30356007,81.5897555,81.86530348,90.68283868,81.81019386,74.89393969,74.81127533,75.00415891,73.8193026,72.85488471,73.37842583,75.74813843,70.87093927,69.548309,51.30703298,35.9039012,25.81884528,16.80842648,9.28596676
3,Habil,BA,36,28,4.603096,-74.080956,PM10,0.0,0.0,0.0,0.0,0.07975114,0.0,0.06645928,0.0,0.02658372,0.13291862,0.31900469,0.13291862,0.02658372,0.10633488,0.11962677,0.0,0.10633488,0.05316745,0.05316745,0.0,0.06645928,0.03987559,0.45192328,0.34558842
3,Habil,TX,36,28,4.603096,-74.080956,PM10,0.40800568,0.28629932,0.22221742,0.22437003,0.30600423,0.60488829,1.34986292,2.04267768,2.01320325,2.00691098,1.99548552,1.91169861,1.68004283,1.60172028,1.6901436,1.59012921,1.51892692,1.30366415,1.19636398,1.04998534,1.09038851,1.12946701,0.80243319,0.61730727
3,Habil,MB,36,28,4.603096,-74.080956,PM10,1.21044863,0.67247146,0.20174142,0.80696573,12.97869925,57.83254581,114.85812584,127.50058937,123.39851345,124.20547921,108.53689416,114.92537302,109.27661275,115.73233874,108.87312984,118.75846034,112.10099285,112.16824004,128.1058137,95.08746486,69.60079641,59.58097165,25.55391558,7.66617468
3,Habil,INT,36,28,4.603096,-74.080956,PM10,0.06127281,0.06127281,0.06127281,0.0,0.06127281,0.2450915,0.27572786,0.09190932,0.15318217,0.06127281,0.0,0.06127281,0.0,0.0,0.0,0.2450915,0.06127281,0.2450915,0.0,0.0,0.0,0.06127281,0.0,0.0
3,Habil,C2G,36,28,4.603096,-74.080956,PM10,0.86502734,0.43251368,0.53232452,1.06464898,0.93156792,3.12740647,3.75954186,4.69110972,3.72627157,3.99243377,5.55613706,5.58940731,4.82419079,4.92400172,6.12173184,5.48959648,5.42305594,2.72816314,2.59508202,1.69678436,1.03137869,1.16445988,1.46389242,0.76521647
3,Habil,ESP,36,28,4.603096,-74.080956,PM10,0.44366273,0.10018191,0.1788963,0.28623394,0.70127327,1.11631256,1.41685825,1.71740396,1.38823484,0.77998763,0.45081858,0.41503927,0.32201327,0.51522116,0.65833817,1.08768916,1.58144278,1.25942953,0.93741631,0.46513023,0.39357171,0.38641591,0.44366273,0.52953291
3,Habil,M,36,28,4.603096,-74.080956,PM10,0.99545955,0.41755853,0.32402543,0.60128425,1.82055525,9.58380354,15.9874812,18.36255418,15.80041499,13.33180892,15.22251398,14.79159357,12.53343703,13.38859689,14.26045907,16.05429054,16.81257688,21.59946793,19.6419535,10.72624366,8.6250891,13.30842565,5.88256466,2.00428098
3,Habil,AL,36,28,4.603096,-74.080956,PM10,0.0,0.0,0.0,0.11389701,0.0,0.28474252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
