ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
34,38,4.65546708484,-74.0590924882,PNCOM,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80480108816e-23,2.62729410135e-20,1.95450930027e-20,8.93506721467e-21,6.24754362093e-21,2.74355102854e-21,2.75755788724e-21,8.86503292118e-21,2.75755788724e-21,2.61748930027e-21,2.61748930027e-21,2.61748930027e-21,2.61748930027e-21,0.0,0.0,0.0
28,27,4.60740277778,-74.1599888889,NVOL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,40,4.72306172139,-74.0450633894,PEC,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11209526925e-95,3.11209526925e-95,1.11146259616e-94,1.351502215e-94,8.09718189027e-95,7.1961804136e-95,6.72793257565e-95,6.72793257565e-95,1.35741791487e-94,4.56416438202e-95,3.65133150562e-95,3.65133150562e-95,3.19491506741e-95,3.19491506741e-95,0.0,0.0
26,33,4.589264,-74.108831,PAL,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4565808003e-88,6.27438913429e-86,4.67093880119e-86,2.13591545924e-86,1.4933861209e-86,6.56566942919e-87,6.60076344062e-87,2.11836845352e-86,6.60076344062e-87,6.24982332629e-87,6.24982332629e-87,6.24982332629e-87,6.24982332629e-87,0.0,0.0,0.0
21,32,4.53996410173,-74.1171543576,PMOTHR,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80106246493e-05,2.78744580761e-05,1.26702082164e-05,8.86914575147e-06,3.80106246493e-06,3.80106246493e-06,1.26702082164e-05,3.80106246493e-06,3.80106246493e-06,3.80106246493e-06,3.80106246493e-06,3.80106246493e-06,0.0,0.0,0.0
39,35,4.698217,-74.093819,PAR,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77391119058e-06,5.71882415683e-06,9.22833328446e-06,5.11620925427e-06,3.4546385358e-06,2.67523425594e-06,2.92865014031e-06,3.84912983243e-06,2.92865014031e-06,3.94491296625e-07,3.94491296625e-07,3.94491296625e-07,3.94491296625e-07,0.0,0.0,0.0
27,35,4.59048439859,-74.0937753383,PSO4,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07874702042e-09,7.91081148312e-10,3.59582340141e-10,2.51707638099e-10,1.07874702042e-10,1.07874702042e-10,3.59582340141e-10,1.07874702042e-10,1.07874702042e-10,1.07874702042e-10,1.07874702042e-10,1.07874702042e-10,0.0,0.0,0.0
45,40,4.75823,-74.047621,IOLE,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43210339197e-07,1.05020915411e-07,4.77367797323e-08,3.34157458125e-08,1.43210339197e-08,1.43210339197e-08,4.77367797323e-08,1.43210339197e-08,1.43210339197e-08,1.43210339197e-08,1.43210339197e-08,1.43210339197e-08,0.0,0.0,0.0
29,32,4.61438611111,-74.114325,ISOP,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98135438312e-07,5.98135438312e-07,2.13619799397e-06,1.28171879638e-06,8.54479197587e-07,7.6903127783e-07,8.54479197587e-07,8.54479197587e-07,8.54479197587e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,34,4.728298,-74.100825,NO2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75075198792e-06,4.25642367233e-05,5.03730506676e-05,2.64037253621e-05,1.8000411183e-05,1.22608867437e-05,1.32252798849e-05,2.15817596564e-05,1.32252798849e-05,3.58134847354e-06,3.58134847354e-06,3.58134847354e-06,3.58134847354e-06,0.0,0.0,0.0
